Name:		mgval_0.35_6B
Optimal value:	250
#Vehicles:	4
Capacity:	120
Depot Node:	1
#Nodes:		31
#Edges:		22
#Arcs:		44
#Required N:	20
#Required E:	14
#Required A:	28

ReN.	DEMAND	S. COST
N3	6	6
N5	4	4
N7	13	13
N8	14	14
N9	6	6
N10	8	8
N12	26	26
N14	4	4
N16	4	4
N17	5	5
N18	9	9
N21	4	4
N23	17	17
N24	2	2
N26	1	1
N27	3	3
N28	17	17
N29	5	5
N30	12	12
N31	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	3	9	2	5	5
E10	6	7	3	9	9
E11	2	3	1	14	14
E12	5	10	4	10	10
E13	19	22	2	9	9
E14	1	2	2	5	5
E15	11	17	4	10	10
E16	19	20	4	12	12
E17	20	22	5	11	11
E18	6	31	3	9	9
E19	21	22	4	14	14
E20	9	13	6	9	9
E21	4	13	3	8	8
E22	11	12	5	9	9

EDGE	FROM N.	TO N.	T. COST
NrE1	23	25	3
NrE2	10	16	2
NrE3	23	24	3
NrE4	1	7	10
NrE5	1	30	4
NrE6	18	19	5
NrE7	12	18	5
NrE8	28	31	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	10	11	4	5	5
A18	6	5	3	8	8
A19	14	15	5	3	3
A20	26	28	5	6	6
A21	8	2	6	7	7
A22	4	3	5	6	6
A23	11	10	4	5	5
A24	31	1	3	2	2
A25	8	9	7	6	6
A26	13	12	4	7	7
A27	13	19	6	7	7
A28	29	30	7	10	10
A29	18	21	3	3	3
A30	26	23	2	3	3
A31	2	8	6	7	7
A32	29	27	2	4	4
A33	29	28	3	9	9
A34	27	29	2	4	4
A35	19	13	6	7	7
A36	11	6	2	12	12
A37	23	26	2	3	3
A38	16	15	3	8	8
A39	15	14	5	4	4
A40	21	18	3	4	4
A41	9	4	9	3	3
A42	27	26	1	2	2
A43	19	21	3	4	4
A44	25	28	5	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	28	25	5
NrA2	21	19	3
NrA3	29	31	2
NrA4	1	31	3
NrA5	9	8	7
NrA6	8	7	3
NrA7	3	4	5
NrA8	28	26	5
NrA9	5	31	1
NrA10	17	16	2
NrA11	27	24	2
NrA12	14	10	1
NrA13	24	27	2
NrA14	12	8	8
NrA15	16	17	2
NrA16	26	27	1
