Name:		mgval_0.35_6C
Optimal value:	-1
#Vehicles:	10
Capacity:	50
Depot Node:	1
#Nodes:		31
#Edges:		23
#Arcs:		45
#Required N:	17
#Required E:	14
#Required A:	29

ReN.	DEMAND	S. COST
N2	23	23
N5	6	6
N6	6	6
N7	9	9
N8	26	26
N10	12	12
N11	4	4
N14	3	3
N16	4	4
N17	5	5
N18	4	4
N19	29	29
N20	11	11
N23	10	10
N25	12	12
N27	8	8
N28	11	11

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	4	13	3	8	8
E11	1	31	3	4	4
E12	9	13	6	9	9
E13	26	27	1	3	3
E14	3	4	5	12	12
E15	3	9	2	5	5
E16	13	19	6	14	14
E17	24	27	2	5	5
E18	1	7	10	13	13
E19	6	31	3	9	9
E20	29	31	2	5	5
E21	23	25	3	7	7
E22	21	22	4	14	14
E23	15	16	3	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	8	12	8
NrE2	28	31	3
NrE3	27	29	2
NrE4	23	24	3
NrE5	2	8	6
NrE6	19	21	3
NrE7	20	22	5
NrE8	8	9	7
NrE9	10	11	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	13	12	4	4	4
A18	11	6	2	6	6
A19	26	28	5	6	6
A20	5	10	4	5	5
A21	10	5	4	5	5
A22	19	18	5	5	5
A23	29	28	3	9	9
A24	7	8	3	14	14
A25	1	30	4	6	6
A26	12	11	5	5	5
A27	21	18	3	4	4
A28	3	2	1	7	7
A29	6	5	3	4	4
A30	10	16	2	8	8
A31	17	11	4	10	10
A32	4	9	9	1	1
A33	14	10	1	2	2
A34	30	1	4	6	6
A35	23	26	2	6	6
A36	30	29	7	5	5
A37	29	30	7	5	5
A38	18	21	3	3	3
A39	18	12	5	6	6
A40	15	14	5	4	4
A41	12	18	5	6	6
A42	12	13	4	3	3
A43	9	4	9	2	2
A44	2	1	2	3	3
A45	31	5	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	10	14	1
NrA2	25	28	5
NrA3	7	6	3
NrA4	16	17	2
NrA5	2	3	1
NrA6	1	2	2
NrA7	18	19	5
NrA8	14	15	5
NrA9	19	22	2
NrA10	17	16	2
NrA11	19	20	4
NrA12	5	6	3
NrA13	5	31	1
NrA14	6	11	2
NrA15	11	12	5
NrA16	28	26	5
