Name:		mgval_0.35_7A
Optimal value:	264
#Vehicles:	3
Capacity:	200
Depot Node:	1
#Nodes:		40
#Edges:		36
#Arcs:		50
#Required N:	23
#Required E:	23
#Required A:	32

ReN.	DEMAND	S. COST
N2	12	12
N3	8	8
N4	5	5
N5	6	6
N8	18	18
N9	6	6
N10	4	4
N11	10	10
N12	5	5
N13	3	3
N15	13	13
N17	6	6
N18	14	14
N20	8	8
N23	7	7
N26	4	4
N27	20	20
N29	21	21
N30	5	5
N31	17	17
N33	9	9
N35	7	7
N36	6	6

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	38	39	7	9	9
E15	21	24	3	6	6
E16	6	7	4	7	7
E17	1	2	2	3	3
E18	13	18	2	5	5
E19	31	37	5	7	7
E20	21	22	1	4	4
E21	12	17	4	8	8
E22	33	34	3	8	8
E23	3	4	2	5	5
E24	20	21	2	3	3
E25	14	15	4	7	7
E26	7	13	1	3	3
E27	1	40	4	10	10
E28	26	33	5	14	14
E29	18	22	6	13	13
E30	3	37	4	6	6
E31	28	35	10	15	15
E32	1	10	8	12	12
E33	9	10	2	6	6
E34	2	36	3	12	12
E35	17	18	5	8	8
E36	34	35	6	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	8	40	5
NrE2	1	33	4
NrE3	11	16	3
NrE4	20	23	3
NrE5	29	36	4
NrE6	15	16	3
NrE7	5	39	2
NrE8	2	6	2
NrE9	27	34	3
NrE10	23	24	2
NrE11	27	28	3
NrE12	29	30	3
NrE13	31	32	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A19	19	13	6	12	12
A20	32	39	2	8	8
A21	13	12	6	4	4
A22	12	6	2	2	2
A23	22	25	1	1	1
A24	35	1	4	6	6
A25	30	31	3	5	5
A26	38	4	3	2	2
A27	37	36	4	7	7
A28	31	38	4	4	4
A29	16	10	4	4	4
A30	20	17	6	6	6
A31	25	24	2	3	3
A32	1	6	3	8	8
A33	36	35	6	7	7
A34	27	26	4	4	4
A35	38	31	4	5	5
A36	1	35	4	6	6
A37	38	37	2	4	4
A38	8	9	5	6	6
A39	24	25	2	2	2
A40	1	8	4	9	9
A41	17	13	2	3	3
A42	5	4	3	4	4
A43	25	22	1	2	2
A44	6	12	2	2	2
A45	12	13	6	4	4
A46	1	11	3	12	12
A47	26	34	5	8	8
A48	11	12	7	4	4
A49	34	26	5	8	8
A50	9	15	2	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	36	37	4
NrA2	4	5	3
NrA3	4	38	3
NrA4	2	3	5
NrA5	35	36	6
NrA6	8	14	7
NrA7	12	11	7
NrA8	31	30	3
NrA9	10	16	4
NrA10	9	8	5
NrA11	3	2	5
NrA12	18	19	4
NrA13	3	7	2
NrA14	26	27	4
NrA15	17	20	6
NrA16	13	17	2
NrA17	30	37	3
NrA18	15	9	2
