Name:		mgval_0.35_7B
Optimal value:	325
#Vehicles:	4
Capacity:	150
Depot Node:	1
#Nodes:		40
#Edges:		25
#Arcs:		66
#Required N:	21
#Required E:	16
#Required A:	42

ReN.	DEMAND	S. COST
N2	7	7
N3	5	5
N4	7	7
N5	3	3
N10	8	8
N11	14	14
N12	17	17
N15	5	5
N20	4	4
N21	4	4
N23	11	11
N25	5	5
N26	14	14
N27	9	9
N30	2	2
N31	15	15
N32	10	10
N34	8	8
N36	12	12
N37	10	10
N40	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	1	35	4	12	12
E11	15	16	3	8	8
E12	30	31	3	10	10
E13	21	24	3	6	6
E14	13	19	6	12	12
E15	1	10	8	12	12
E16	13	17	2	6	6
E17	17	18	5	8	8
E18	6	12	2	4	4
E19	3	37	4	6	6
E20	4	38	3	4	4
E21	37	38	2	4	4
E22	7	13	1	3	3
E23	18	22	6	13	13
E24	13	18	2	5	5
E25	1	8	4	9	9

EDGE	FROM N.	TO N.	T. COST
NrE1	23	24	2
NrE2	10	16	4
NrE3	27	34	3
NrE4	4	5	3
NrE5	1	40	4
NrE6	11	16	3
NrE7	26	33	5
NrE8	31	38	4
NrE9	3	7	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A25	6	2	2	4	4
A26	33	34	3	8	8
A27	6	7	4	3	3
A28	27	28	3	5	5
A29	28	27	3	6	6
A30	9	10	2	3	3
A31	2	3	5	4	4
A32	39	38	7	9	9
A33	1	6	3	4	4
A34	8	40	5	8	8
A35	2	36	3	12	12
A36	9	15	2	4	4
A37	4	3	2	3	3
A38	10	9	2	3	3
A39	26	27	4	8	8
A40	35	34	6	8	8
A41	13	12	6	4	4
A42	29	36	4	4	4
A43	35	28	10	8	8
A44	7	6	4	4	4
A45	35	36	6	7	7
A46	8	14	7	5	5
A47	15	14	4	7	7
A48	21	20	2	3	3
A49	20	17	6	12	12
A50	1	11	3	12	12
A51	3	2	5	5	5
A52	6	1	3	4	4
A53	8	9	5	12	12
A54	22	25	1	1	1
A55	37	31	5	4	4
A56	18	19	4	14	14
A57	33	1	4	9	9
A58	31	37	5	3	3
A59	39	5	2	3	3
A60	26	34	5	8	8
A61	36	37	4	6	6
A62	30	29	3	12	12
A63	39	32	2	4	4
A64	24	25	2	2	2
A65	28	35	10	7	7
A66	14	8	7	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	25	22	1
NrA2	5	39	2
NrA3	20	23	3
NrA4	23	20	3
NrA5	37	36	4
NrA6	3	4	2
NrA7	25	24	2
NrA8	2	1	2
NrA9	31	32	5
NrA10	2	6	2
NrA11	15	9	2
NrA12	36	29	4
NrA13	30	37	3
NrA14	34	26	5
NrA15	32	39	2
NrA16	12	17	4
NrA17	36	35	6
NrA18	1	2	2
NrA19	12	13	6
NrA20	11	12	7
NrA21	12	11	7
NrA22	37	30	3
NrA23	21	22	1
NrA24	32	31	5
