Name:		mgval_0.35_8A
Optimal value:	-1
#Vehicles:	3
Capacity:	200
Depot Node:	1
#Nodes:		30
#Edges:		20
#Arcs:		76
#Required N:	22
#Required E:	13
#Required A:	49

ReN.	DEMAND	S. COST
N3	3	3
N4	4	4
N6	3	3
N7	9	9
N8	10	10
N9	20	20
N11	18	18
N13	13	13
N15	7	7
N16	15	15
N17	16	16
N18	4	4
N19	6	6
N20	6	6
N21	13	13
N22	7	7
N24	7	7
N26	9	9
N27	5	5
N28	13	13
N29	5	5
N30	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	14	17	4	8	8
E9	25	29	3	5	5
E10	5	8	8	11	11
E11	16	20	3	5	5
E12	23	30	3	5	5
E13	22	29	4	7	7
E14	6	11	7	10	10
E15	1	2	4	9	9
E16	8	14	7	12	12
E17	8	15	10	16	16
E18	8	9	7	18	18
E19	22	25	2	6	6
E20	18	23	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	26	30	3
NrE2	1	9	10
NrE3	28	29	7
NrE4	8	13	6
NrE5	17	18	5
NrE6	13	16	8
NrE7	7	8	8

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A28	25	30	1	2	2
A29	17	16	9	7	7
A30	1	8	7	5	5
A31	4	5	5	5	5
A32	24	28	2	3	3
A33	7	6	3	3	3
A34	6	4	3	4	4
A35	14	13	5	4	4
A36	13	17	7	6	6
A37	21	29	8	5	5
A38	12	16	6	4	4
A39	18	26	9	6	6
A40	15	9	3	4	4
A41	14	15	9	10	10
A42	18	19	2	3	3
A43	19	15	7	6	6
A44	5	4	5	6	6
A45	22	23	10	12	12
A46	9	15	3	4	4
A47	29	30	6	6	6
A48	2	3	3	3	3
A49	30	25	1	2	2
A50	7	12	8	5	5
A51	15	19	7	5	5
A52	24	21	5	6	6
A53	13	14	5	4	4
A54	2	9	5	4	4
A55	4	7	1	2	2
A56	22	17	5	6	6
A57	10	19	10	6	6
A58	3	10	6	6	6
A59	11	12	5	7	7
A60	8	1	7	5	5
A61	10	3	6	6	6
A62	20	21	7	4	4
A63	27	20	5	4	4
A64	10	9	3	10	10
A65	7	4	1	2	2
A66	23	26	7	5	5
A67	19	18	2	3	3
A68	15	18	3	3	3
A69	12	13	3	3	3
A70	20	11	10	7	7
A71	28	27	10	6	6
A72	26	18	9	6	6
A73	1	5	3	7	7
A74	12	7	8	6	6
A75	28	21	5	4	4
A76	27	24	5	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	19	10	10
NrA2	27	28	10
NrA3	9	2	5
NrA4	20	27	5
NrA5	6	7	3
NrA6	11	20	10
NrA7	4	6	3
NrA8	20	24	2
NrA9	22	21	5
NrA10	17	13	7
NrA11	16	21	7
NrA12	3	2	3
NrA13	16	12	6
NrA14	18	15	3
NrA15	30	29	6
NrA16	24	20	2
NrA17	21	28	5
NrA18	21	16	7
NrA19	28	24	2
NrA20	26	23	7
NrA21	24	27	5
NrA22	29	21	8
NrA23	21	20	7
NrA24	15	10	5
NrA25	16	17	9
NrA26	11	16	5
NrA27	13	12	3
