Name:		mgval_0.35_8C
Optimal value:	-1
#Vehicles:	9
Capacity:	65
Depot Node:	1
#Nodes:		30
#Edges:		28
#Arcs:		55
#Required N:	22
#Required E:	18
#Required A:	35

ReN.	DEMAND	S. COST
N3	3	3
N5	11	11
N6	3	3
N7	12	12
N8	10	10
N9	16	16
N10	12	12
N11	3	3
N12	8	8
N13	5	5
N15	27	27
N16	13	13
N17	14	14
N20	5	5
N21	8	8
N22	4	4
N25	5	5
N26	12	12
N27	11	11
N28	5	5
N29	11	11
N30	12	12

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	17	22	5	6	6
E12	22	25	2	6	6
E13	26	30	3	4	4
E14	3	10	6	12	12
E15	20	27	5	8	8
E16	24	28	2	6	6
E17	10	19	10	12	12
E18	8	9	7	18	18
E19	21	28	5	8	8
E20	4	6	3	8	8
E21	14	15	9	10	10
E22	24	27	5	9	9
E23	12	13	3	6	6
E24	1	2	4	9	9
E25	18	19	2	6	6
E26	11	20	10	13	13
E27	16	21	7	8	8
E28	1	5	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	5	8	8
NrE2	20	24	2
NrE3	16	17	9
NrE4	17	18	5
NrE5	15	19	7
NrE6	27	28	10
NrE7	1	8	7
NrE8	7	8	8
NrE9	1	9	10
NrE10	10	15	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A21	15	9	3	4	4
A22	17	13	7	12	12
A23	16	13	8	5	5
A24	22	29	4	3	3
A25	29	22	4	4	4
A26	8	14	7	6	6
A27	4	5	5	11	11
A28	14	8	7	6	6
A29	4	7	1	2	2
A30	16	11	5	6	6
A31	20	16	3	5	5
A32	9	2	5	4	4
A33	16	12	6	5	5
A34	2	9	5	4	4
A35	29	21	8	5	5
A36	13	8	6	5	5
A37	11	16	5	6	6
A38	23	18	3	7	7
A39	25	30	1	2	2
A40	6	11	7	10	10
A41	18	15	3	7	7
A42	14	13	5	8	8
A43	21	29	8	5	5
A44	26	23	7	10	10
A45	30	25	1	2	2
A46	7	4	1	2	2
A47	9	15	3	4	4
A48	8	13	6	5	5
A49	9	10	3	5	5
A50	20	21	7	4	4
A51	14	17	4	4	4
A52	2	3	3	3	3
A53	21	24	5	6	6
A54	7	12	8	11	11
A55	23	22	10	12	12

ARC	FROM N.	TO N.	T. COST
NrA1	25	29	3
NrA2	6	7	3
NrA3	21	22	5
NrA4	29	30	6
NrA5	21	20	7
NrA6	3	2	3
NrA7	28	29	7
NrA8	12	11	5
NrA9	11	12	5
NrA10	26	18	9
NrA11	15	8	10
NrA12	29	28	7
NrA13	30	23	3
NrA14	17	14	4
NrA15	10	9	3
NrA16	7	6	3
NrA17	13	16	8
NrA18	30	29	6
NrA19	12	16	6
NrA20	22	21	5
