Name:		mgval_0.35_9A
Optimal value:	324
#Vehicles:	3
Capacity:	235
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		100
#Required N:	31
#Required E:	20
#Required A:	65

ReN.	DEMAND	S. COST
N3	7	7
N6	10	10
N7	8	8
N9	1	1
N10	21	21
N13	6	6
N14	4	4
N15	8	8
N16	5	5
N19	16	16
N20	2	2
N21	3	3
N22	8	8
N23	9	9
N24	6	6
N26	8	8
N27	3	3
N29	9	9
N30	2	2
N32	2	2
N33	4	4
N35	7	7
N36	11	11
N37	2	2
N38	2	2
N39	14	14
N40	5	5
N43	22	22
N45	9	9
N47	7	7
N48	6	6

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E13	28	29	5	8	8
E14	11	18	3	9	9
E15	21	22	2	4	4
E16	39	40	4	10	10
E17	25	33	1	4	4
E18	34	42	4	10	10
E19	35	36	2	4	4
E20	25	26	2	4	4
E21	21	26	2	4	4
E22	44	45	2	5	5
E23	8	9	5	10	10
E24	16	17	3	7	7
E25	2	5	2	4	4
E26	23	24	2	5	5
E27	35	43	6	14	14
E28	18	19	1	2	2
E29	10	11	2	4	4
E30	28	36	5	8	8
E31	17	30	6	14	14
E32	31	39	4	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	19	32	7
NrE2	36	44	5
NrE3	43	48	7
NrE4	26	34	4
NrE5	29	37	3
NrE6	6	11	3
NrE7	23	28	2
NrE8	7	12	2
NrE9	24	29	2
NrE10	45	50	3
NrE11	43	44	4
NrE12	10	17	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A36	4	7	3	3	3
A37	18	17	1	3	3
A38	14	22	4	8	8
A39	45	48	5	6	6
A40	4	3	3	6	6
A41	3	2	2	2	2
A42	50	46	2	4	4
A43	9	13	4	12	12
A44	14	23	2	5	5
A45	20	21	1	2	2
A46	38	30	3	2	2
A47	41	42	2	2	2
A48	1	9	3	3	3
A49	17	24	4	6	6
A50	49	45	3	8	8
A51	42	41	2	2	2
A52	10	5	2	5	5
A53	15	16	4	5	5
A54	11	12	2	2	2
A55	46	38	3	6	6
A56	31	32	2	3	3
A57	22	23	5	4	4
A58	38	46	3	6	6
A59	39	30	2	5	5
A60	12	19	4	8	8
A61	12	11	2	3	3
A62	7	6	3	4	4
A63	29	30	1	2	2
A64	46	45	2	2	2
A65	8	13	6	5	5
A66	43	42	2	5	5
A67	34	35	1	2	2
A68	13	8	6	6	6
A69	16	1	4	6	6
A70	23	15	1	2	2
A71	6	7	3	3	3
A72	17	31	4	15	15
A73	40	32	2	2	2
A74	33	41	4	5	5
A75	38	37	2	3	3
A76	1	15	4	4	4
A77	25	20	3	3	3
A78	7	4	3	3	3
A79	24	30	3	5	5
A80	48	49	4	5	5
A81	1	5	3	12	12
A82	41	33	4	6	6
A83	15	24	2	4	4
A84	2	3	2	1	1
A85	50	49	2	8	8
A86	32	31	2	4	4
A87	27	35	2	3	3
A88	21	13	1	2	2
A89	27	28	1	1	1
A90	5	6	2	4	4
A91	9	1	3	4	4
A92	47	40	3	5	5
A93	24	17	4	6	6
A94	44	37	3	4	4
A95	49	48	4	5	5
A96	22	13	4	5	5
A97	1	16	4	6	6
A98	30	29	1	2	2
A99	37	44	3	4	4
A100	28	27	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	27	26	3
NrA2	37	38	2
NrA3	35	34	1
NrA4	35	27	2
NrA5	39	38	3
NrA6	47	39	5
NrA7	20	25	3
NrA8	6	5	2
NrA9	14	15	3
NrA10	22	28	4
NrA11	16	15	4
NrA12	45	46	2
NrA13	15	23	1
NrA14	13	21	1
NrA15	13	22	4
NrA16	48	45	5
NrA17	32	40	2
NrA18	9	14	1
NrA19	14	9	1
NrA20	15	14	3
NrA21	40	47	3
NrA22	15	1	4
NrA23	39	47	5
NrA24	23	22	5
NrA25	1	10	4
NrA26	26	27	3
NrA27	38	36	1
NrA28	10	1	4
NrA29	33	34	2
NrA30	3	6	4
NrA31	21	20	1
NrA32	23	29	4
NrA33	29	23	4
NrA34	36	38	1
NrA35	30	38	3
