Name:		mgval_0.35_9C
Optimal value:	-1
#Vehicles:	5
Capacity:	140
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		83
#Required N:	35
#Required E:	27
#Required A:	53

ReN.	DEMAND	S. COST
N2	2	2
N3	7	7
N4	9	9
N5	8	8
N8	5	5
N9	3	3
N10	2	2
N11	7	7
N12	4	4
N13	1	1
N14	10	10
N15	4	4
N16	19	19
N19	4	4
N21	4	4
N22	2	2
N23	8	8
N24	6	6
N25	4	4
N27	8	8
N28	4	4
N29	6	6
N30	7	7
N34	5	5
N36	10	10
N37	5	5
N38	12	12
N40	5	5
N41	4	4
N42	2	2
N43	17	17
N44	5	5
N45	15	15
N49	4	4
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E16	13	22	4	10	10
E17	38	39	3	7	7
E18	17	24	4	12	12
E19	30	38	3	4	4
E20	31	39	4	6	6
E21	5	10	2	5	5
E22	1	10	4	13	13
E23	23	28	2	4	4
E24	10	17	4	8	8
E25	33	41	4	11	11
E26	43	48	7	12	12
E27	25	26	2	4	4
E28	14	15	3	5	5
E29	22	28	4	8	8
E30	39	47	5	14	14
E31	33	34	2	4	4
E32	17	31	4	15	15
E33	37	44	3	8	8
E34	19	32	7	16	16
E35	32	40	2	4	4
E36	15	16	4	10	10
E37	8	9	5	10	10
E38	48	49	4	10	10
E39	6	7	3	7	7
E40	40	47	3	10	10
E41	29	37	3	7	7
E42	1	9	3	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	34	35	1
NrE2	16	17	3
NrE3	44	45	2
NrE4	9	14	1
NrE5	29	30	1
NrE6	45	48	5
NrE7	5	6	2
NrE8	25	33	1
NrE9	37	38	2
NrE10	1	16	4
NrE11	38	46	3
NrE12	11	12	2
NrE13	27	35	2
NrE14	4	7	3
NrE15	36	44	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A31	5	1	3	6	6
A32	23	29	4	1	1
A33	49	50	2	4	4
A34	1	5	3	6	6
A35	1	15	4	4	4
A36	45	46	2	2	2
A37	30	24	3	5	5
A38	23	24	2	2	2
A39	20	25	3	2	2
A40	50	46	2	4	4
A41	18	19	1	1	1
A42	17	30	6	7	7
A43	32	31	2	4	4
A44	7	12	2	4	4
A45	21	26	2	4	4
A46	36	38	1	3	3
A47	31	32	2	3	3
A48	23	15	1	2	2
A49	25	20	3	3	3
A50	36	35	2	2	2
A51	11	18	3	9	9
A52	45	49	3	4	4
A53	28	27	1	2	2
A54	5	2	2	2	2
A55	39	40	4	5	5
A56	27	26	3	3	3
A57	20	21	1	5	5
A58	23	14	2	3	3
A59	18	17	1	3	3
A60	15	23	1	1	1
A61	34	42	4	5	5
A62	44	43	4	5	5
A63	26	27	3	2	2
A64	2	3	2	3	3
A65	15	24	2	4	4
A66	13	9	4	12	12
A67	42	34	4	5	5
A68	6	11	3	3	3
A69	13	8	6	6	6
A70	30	39	2	5	5
A71	35	36	2	2	2
A72	26	34	4	3	3
A73	11	6	3	3	3
A74	19	18	1	1	1
A75	3	4	3	3	3
A76	50	45	3	4	4
A77	12	19	4	4	4
A78	29	24	2	3	3
A79	28	29	5	8	8
A80	46	45	2	2	2
A81	34	26	4	3	3
A82	36	28	5	4	4
A83	43	44	4	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	43	35	6
NrA2	29	23	4
NrA3	22	21	2
NrA4	42	43	2
NrA5	2	5	2
NrA6	14	22	4
NrA7	10	11	2
NrA8	27	28	1
NrA9	12	7	2
NrA10	40	39	4
NrA11	30	17	6
NrA12	28	36	5
NrA13	21	13	1
NrA14	15	1	4
NrA15	41	42	2
NrA16	43	42	2
NrA17	19	12	4
NrA18	45	50	3
NrA19	21	22	2
NrA20	8	13	6
NrA21	24	23	2
NrA22	49	45	3
NrA23	11	10	2
NrA24	13	21	1
NrA25	50	49	2
NrA26	3	6	4
NrA27	14	23	2
NrA28	4	3	3
NrA29	24	29	2
NrA30	23	22	5
