Name:		mgval_0.40_10A
Optimal value:	406
#Vehicles:	3
Capacity:	250
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		106
#Required N:	36
#Required E:	19
#Required A:	63

ReN.	DEMAND	S. COST
N2	26	26
N5	8	8
N6	3	3
N7	10	10
N8	3	3
N9	8	8
N10	3	3
N11	7	7
N12	2	2
N13	6	6
N15	16	16
N16	13	13
N17	18	18
N20	4	4
N22	18	18
N23	10	10
N24	8	8
N26	10	10
N27	12	12
N29	4	4
N30	5	5
N31	12	12
N32	9	9
N33	13	13
N34	10	10
N35	3	3
N36	3	3
N40	7	7
N41	4	4
N42	4	4
N43	4	4
N44	8	8
N45	3	3
N46	7	7
N49	6	6
N50	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	41	49	2	4	4
E15	28	38	6	10	10
E16	31	37	2	6	6
E17	27	30	3	6	6
E18	5	6	9	10	10
E19	6	7	5	7	7
E20	28	32	1	4	4
E21	33	46	6	10	10
E22	40	41	3	4	4
E23	1	6	2	7	7
E24	33	39	3	8	8
E25	42	44	1	3	3
E26	22	31	6	9	9
E27	3	9	5	6	6
E28	6	13	3	8	8
E29	41	48	1	3	3
E30	20	21	4	7	7
E31	8	14	3	7	7
E32	25	28	3	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	32	38	5
NrE2	33	34	4
NrE3	26	29	2
NrE4	9	15	2
NrE5	15	23	1
NrE6	23	31	3
NrE7	40	47	2
NrE8	2	3	6
NrE9	27	36	8
NrE10	46	47	4
NrE11	1	2	10
NrE12	17	25	7
NrE13	43	45	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A44	50	43	6	3	3
A45	24	32	5	5	5
A46	35	27	6	5	5
A47	48	47	3	6	6
A48	12	20	2	3	3
A49	19	20	3	9	9
A50	32	24	5	6	6
A51	38	45	7	4	4
A52	39	29	5	7	7
A53	29	18	5	5	5
A54	37	36	2	4	4
A55	18	19	1	4	4
A56	16	24	3	3	3
A57	38	43	3	8	8
A58	13	21	3	3	3
A59	50	44	5	4	4
A60	31	32	3	2	2
A61	43	50	6	3	3
A62	21	13	3	3	3
A63	14	15	1	2	2
A64	23	22	2	3	3
A65	24	25	2	7	7
A66	42	36	2	3	3
A67	18	5	9	12	12
A68	27	35	6	4	4
A69	30	20	9	6	6
A70	43	37	2	4	4
A71	49	48	7	5	5
A72	3	4	6	9	9
A73	20	30	9	6	6
A74	10	17	7	5	5
A75	40	34	1	5	5
A76	36	35	3	3	3
A77	5	11	3	4	4
A78	37	38	7	4	4
A79	48	49	7	5	5
A80	37	43	2	3	3
A81	30	26	1	2	2
A82	27	21	4	4	4
A83	7	8	2	3	3
A84	10	9	8	5	5
A85	21	27	4	3	3
A86	38	37	7	5	5
A87	19	11	1	8	8
A88	43	42	4	5	5
A89	18	29	5	5	5
A90	24	16	3	4	4
A91	4	10	3	3	3
A92	32	31	3	3	3
A93	19	26	1	3	3
A94	42	41	4	6	6
A95	18	26	2	4	4
A96	26	18	2	5	5
A97	37	32	3	4	4
A98	14	22	5	4	4
A99	9	10	8	4	4
A100	45	38	7	5	5
A101	32	37	3	3	3
A102	26	19	1	3	3
A103	9	8	3	5	5
A104	13	12	1	2	2
A105	12	11	3	3	3
A106	12	6	2	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	16	9	5
NrA2	17	16	7
NrA3	22	21	5
NrA4	7	13	4
NrA5	16	17	7
NrA6	45	50	3
NrA7	35	36	3
NrA8	26	34	5
NrA9	41	35	3
NrA10	33	40	3
NrA11	12	13	1
NrA12	1	5	7
NrA13	20	12	2
NrA14	24	23	6
NrA15	42	43	4
NrA16	29	33	6
NrA17	10	4	3
NrA18	49	50	10
NrA19	33	29	6
NrA20	34	26	5
NrA21	31	27	7
NrA22	50	45	3
NrA23	11	5	3
NrA24	26	30	1
NrA25	15	16	2
NrA26	50	49	10
NrA27	22	14	5
NrA28	5	1	7
NrA29	34	35	2
NrA30	7	2	1
NrA31	6	12	2
NrA32	44	50	5
NrA33	13	14	2
NrA34	44	49	4
NrA35	22	23	2
NrA36	17	10	7
NrA37	15	14	1
NrA38	30	34	1
NrA39	8	7	2
NrA40	2	7	1
NrA41	11	12	3
NrA42	40	33	3
NrA43	36	42	2
