Name:		mgval_0.40_10C
Optimal value:	-1
#Vehicles:	5
Capacity:	150
Depot Node:	1
#Nodes:		50
#Edges:		36
#Arcs:		100
#Required N:	33
#Required E:	21
#Required A:	60

ReN.	DEMAND	S. COST
N2	10	10
N5	8	8
N6	3	3
N7	6	6
N8	10	10
N9	9	9
N11	8	8
N12	5	5
N13	6	6
N14	12	12
N15	9	9
N16	7	7
N18	15	15
N23	14	14
N24	4	4
N25	10	10
N26	16	16
N27	6	6
N29	13	13
N30	2	2
N31	9	9
N32	7	7
N33	13	13
N34	2	2
N36	4	4
N37	7	7
N38	9	9
N40	8	8
N41	3	3
N43	13	13
N47	3	3
N48	13	13
N50	11	11

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E16	41	48	1	3	3
E17	6	12	2	7	7
E18	43	50	6	6	6
E19	20	30	9	12	12
E20	1	6	2	7	7
E21	24	32	5	11	11
E22	20	21	4	7	7
E23	27	31	7	12	12
E24	34	35	2	5	5
E25	10	17	7	11	11
E26	38	45	7	9	9
E27	28	32	1	4	4
E28	3	9	5	6	6
E29	36	42	2	6	6
E30	16	17	7	8	8
E31	26	29	2	4	4
E32	22	23	2	6	6
E33	29	39	5	7	7
E34	35	36	3	6	6
E35	33	39	3	8	8
E36	11	12	3	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	25	28	3
NrE2	23	31	3
NrE3	26	30	1
NrE4	40	41	3
NrE5	15	23	1
NrE6	9	10	8
NrE7	29	33	6
NrE8	11	19	1
NrE9	43	45	1
NrE10	27	30	3
NrE11	32	37	3
NrE12	14	22	5
NrE13	33	46	6
NrE14	26	34	5
NrE15	2	3	6

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A41	27	36	8	6	6
A42	3	4	6	9	9
A43	34	30	1	3	3
A44	35	27	6	5	5
A45	42	41	4	3	3
A46	46	47	4	7	7
A47	21	22	5	5	5
A48	44	42	1	2	2
A49	36	27	8	6	6
A50	10	4	3	3	3
A51	24	25	2	3	3
A52	38	28	6	5	5
A53	18	26	2	9	9
A54	42	44	1	1	1
A55	24	23	6	4	4
A56	49	41	2	4	4
A57	45	50	3	3	3
A58	7	2	1	4	4
A59	7	6	5	4	4
A60	21	27	4	7	7
A61	43	37	2	7	7
A62	9	8	3	3	3
A63	21	13	3	6	6
A64	40	47	2	1	1
A65	49	50	10	12	12
A66	34	33	4	3	3
A67	16	9	5	5	5
A68	38	32	5	9	9
A69	15	14	1	3	3
A70	40	34	1	3	3
A71	19	26	1	3	3
A72	2	7	1	3	3
A73	17	25	7	8	8
A74	15	9	2	8	8
A75	5	18	9	6	6
A76	2	1	10	7	7
A77	1	2	10	6	6
A78	41	35	3	4	4
A79	11	5	3	5	5
A80	20	12	2	4	4
A81	31	37	2	3	3
A82	13	12	1	2	2
A83	43	38	3	4	4
A84	33	34	4	3	3
A85	4	10	3	3	3
A86	1	5	7	4	4
A87	9	16	5	4	4
A88	47	40	2	2	2
A89	8	9	3	2	2
A90	14	15	1	2	2
A91	5	6	9	10	10
A92	20	19	3	5	5
A93	27	35	6	4	4
A94	19	20	3	4	4
A95	31	32	3	5	5
A96	28	38	6	5	5
A97	49	44	4	3	3
A98	44	49	4	2	2
A99	22	21	5	5	5
A100	13	6	3	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	14	13	2
NrA2	5	1	7
NrA3	26	19	1
NrA4	47	48	3
NrA5	31	22	6
NrA6	38	43	3
NrA7	18	29	5
NrA8	29	18	5
NrA9	37	31	2
NrA10	12	13	1
NrA11	13	7	4
NrA12	50	44	5
NrA13	18	5	9
NrA14	25	24	2
NrA15	43	42	4
NrA16	7	13	4
NrA17	8	7	2
NrA18	50	45	3
NrA19	16	24	3
NrA20	40	33	3
NrA21	38	37	7
NrA22	16	15	2
NrA23	7	8	2
NrA24	23	24	6
NrA25	30	34	1
NrA26	41	42	4
NrA27	12	20	2
NrA28	34	40	1
NrA29	6	7	5
NrA30	24	16	3
NrA31	13	14	2
NrA32	48	47	3
NrA33	15	16	2
NrA34	37	38	7
NrA35	48	49	7
NrA36	5	11	3
NrA37	36	37	2
NrA38	18	19	1
NrA39	8	14	3
NrA40	33	40	3
