Name:		mgval_0.40_10D
Optimal value:	-1
#Vehicles:	10
Capacity:	75
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		87
#Required N:	35
#Required E:	25
#Required A:	52

ReN.	DEMAND	S. COST
N2	17	17
N5	30	30
N6	3	3
N7	3	3
N8	9	9
N9	13	13
N11	5	5
N12	9	9
N13	5	5
N14	14	14
N15	7	7
N16	7	7
N17	6	6
N20	12	12
N22	4	4
N24	18	18
N26	5	5
N27	15	15
N29	8	8
N30	2	2
N31	5	5
N32	19	19
N33	18	18
N37	4	4
N38	4	4
N41	2	2
N42	1	1
N43	6	6
N44	5	5
N45	10	10
N46	3	3
N47	4	4
N48	5	5
N49	17	17
N50	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E18	3	4	6	9	9
E19	13	14	2	6	6
E20	35	36	3	6	6
E21	21	27	4	7	7
E22	33	40	3	7	7
E23	19	20	3	9	9
E24	27	36	8	12	12
E25	26	34	5	10	10
E26	47	48	3	6	6
E27	20	21	4	7	7
E28	38	43	3	8	8
E29	9	15	2	8	8
E30	27	31	7	12	12
E31	13	21	3	6	6
E32	40	41	3	4	4
E33	11	19	1	8	8
E34	15	23	1	6	6
E35	33	34	4	6	6
E36	3	9	5	6	6
E37	44	50	5	7	7
E38	34	40	1	5	5
E39	16	17	7	8	8
E40	17	25	7	8	8
E41	25	28	3	6	6
E42	18	19	1	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	14	15	1
NrE2	2	3	6
NrE3	9	10	8
NrE4	15	16	2
NrE5	27	35	6
NrE6	24	25	2
NrE7	12	20	2
NrE8	29	33	6
NrE9	5	6	9
NrE10	14	22	5
NrE11	32	37	3
NrE12	1	5	7
NrE13	8	14	3
NrE14	44	49	4
NrE15	33	46	6
NrE16	2	7	1
NrE17	27	30	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A36	5	11	3	4	4
A37	9	8	3	3	3
A38	38	28	6	5	5
A39	18	29	5	10	10
A40	39	29	5	7	7
A41	24	23	6	4	4
A42	18	26	2	4	4
A43	19	26	1	6	6
A44	2	1	10	13	13
A45	35	34	2	5	5
A46	31	32	3	2	2
A47	44	42	1	2	2
A48	36	42	2	3	3
A49	23	31	3	5	5
A50	7	6	5	4	4
A51	40	47	2	1	1
A52	23	24	6	4	4
A53	26	29	2	4	4
A54	42	36	2	3	3
A55	11	12	3	2	2
A56	6	13	3	4	4
A57	6	1	2	4	4
A58	43	50	6	3	3
A59	42	41	4	6	6
A60	13	6	3	4	4
A61	30	26	1	2	2
A62	12	11	3	3	3
A63	48	41	1	2	2
A64	10	17	7	5	5
A65	34	30	1	3	3
A66	28	38	6	5	5
A67	41	48	1	1	1
A68	16	9	5	5	5
A69	4	10	3	6	6
A70	31	23	3	5	5
A71	31	37	2	6	6
A72	26	30	1	1	1
A73	35	41	3	4	4
A74	37	38	7	9	9
A75	1	6	2	3	3
A76	49	41	2	2	2
A77	22	21	5	5	5
A78	47	40	2	2	2
A79	23	22	2	6	6
A80	21	22	5	5	5
A81	43	42	4	9	9
A82	6	12	2	7	7
A83	50	45	3	4	4
A84	37	43	2	3	3
A85	8	7	2	3	3
A86	7	8	2	3	3
A87	28	32	1	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	9	16	5
NrA2	20	30	9
NrA3	5	18	9
NrA4	24	32	5
NrA5	48	49	7
NrA6	50	43	6
NrA7	45	38	7
NrA8	7	13	4
NrA9	45	43	1
NrA10	8	9	3
NrA11	11	5	3
NrA12	33	39	3
NrA13	12	13	1
NrA14	49	50	10
NrA15	47	46	4
NrA16	46	47	4
NrA17	13	7	4
NrA18	26	18	2
NrA19	42	44	1
NrA20	22	31	6
NrA21	38	45	7
NrA22	45	50	3
NrA23	13	12	1
NrA24	6	7	5
NrA25	31	22	6
NrA26	17	10	7
NrA27	30	34	1
NrA28	43	45	1
NrA29	49	48	7
NrA30	41	49	2
NrA31	43	37	2
NrA32	32	31	3
NrA33	37	36	2
NrA34	16	24	3
NrA35	32	38	5
