Name:		mgval_0.40_4B
Optimal value:	-1
#Vehicles:	4
Capacity:	170
Depot Node:	1
#Nodes:		41
#Edges:		19
#Arcs:		83
#Required N:	29
#Required E:	11
#Required A:	49

ReN.	DEMAND	S. COST
N2	2	2
N3	1	1
N4	2	2
N5	13	13
N7	21	21
N8	1	1
N10	4	4
N11	6	6
N14	11	11
N15	3	3
N17	2	2
N18	18	18
N20	2	2
N21	14	14
N22	11	11
N24	6	6
N25	4	4
N26	26	26
N28	6	6
N29	6	6
N31	13	13
N33	5	5
N34	6	6
N35	7	7
N36	19	19
N37	12	12
N38	16	16
N39	6	6
N40	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	19	20	3	4	4
E10	33	37	2	4	4
E11	23	24	3	4	4
E12	25	31	7	11	11
E13	24	25	4	7	7
E14	13	14	8	16	16
E15	27	32	3	8	8
E16	16	17	9	15	15
E17	3	4	7	15	15
E18	31	32	5	9	9
E19	2	8	10	20	20

EDGE	FROM N.	TO N.	T. COST
NrE1	4	5	1
NrE2	5	6	6
NrE3	38	39	9
NrE4	14	15	3
NrE5	18	22	6
NrE6	26	27	7
NrE7	3	9	1
NrE8	29	30	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A35	15	10	1	2	2
A36	9	8	2	2	2
A37	12	6	3	4	4
A38	20	27	5	4	4
A39	28	27	7	13	13
A40	40	39	2	2	2
A41	41	40	4	2	2
A42	17	11	2	2	2
A43	23	29	5	14	14
A44	24	14	4	13	13
A45	36	39	3	4	4
A46	16	11	6	12	12
A47	11	5	4	4	4
A48	17	18	4	3	3
A49	3	2	1	1	1
A50	4	10	3	3	3
A51	15	25	9	9	9
A52	35	34	2	2	2
A53	11	12	5	4	4
A54	14	9	5	10	10
A55	34	35	2	2	2
A56	12	11	5	5	5
A57	32	26	7	7	7
A58	8	7	2	3	3
A59	27	33	5	4	4
A60	27	20	5	4	4
A61	5	11	4	4	4
A62	23	14	3	4	4
A63	36	40	4	7	7
A64	10	11	4	3	3
A65	10	9	3	6	6
A66	32	36	10	6	6
A67	30	31	12	9	9
A68	7	1	5	8	8
A69	10	15	1	1	1
A70	30	24	8	6	6
A71	35	31	4	4	4
A72	6	12	3	4	4
A73	34	29	14	17	17
A74	16	15	3	3	3
A75	26	32	7	6	6
A76	16	19	1	2	2
A77	39	35	10	7	7
A78	2	1	1	1	1
A79	25	15	9	10	10
A80	13	23	7	7	7
A81	37	41	5	9	9
A82	21	27	1	3	3
A83	23	13	7	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	11	10	4
NrA2	31	30	12
NrA3	1	7	5
NrA4	15	16	3
NrA5	28	22	5
NrA6	33	27	5
NrA7	11	17	2
NrA8	39	40	2
NrA9	7	13	7
NrA10	26	19	8
NrA11	18	17	4
NrA12	1	2	1
NrA13	21	20	5
NrA14	36	32	10
NrA15	37	36	8
NrA16	38	34	7
NrA17	26	25	6
NrA18	22	21	4
NrA19	24	30	8
NrA20	22	28	5
NrA21	10	4	3
NrA22	35	39	10
NrA23	25	26	6
NrA24	2	3	1
NrA25	17	20	2
NrA26	20	17	2
NrA27	34	38	7
NrA28	36	35	8
NrA29	31	35	4
NrA30	14	23	3
NrA31	8	9	2
NrA32	40	41	4
NrA33	21	22	4
NrA34	39	36	3
