Name:		mgval_0.40_4C
Optimal value:	-1
#Vehicles:	5
Capacity:	130
Depot Node:	1
#Nodes:		41
#Edges:		21
#Arcs:		82
#Required N:	28
#Required E:	12
#Required A:	49

ReN.	DEMAND	S. COST
N2	3	3
N3	7	7
N4	5	5
N6	4	4
N7	11	11
N9	10	10
N10	4	4
N11	6	6
N12	9	9
N13	8	8
N14	9	9
N15	2	2
N16	21	21
N17	2	2
N18	14	14
N19	12	12
N20	13	13
N21	14	14
N22	12	12
N24	10	10
N26	6	6
N27	12	12
N30	6	6
N31	3	3
N32	5	5
N34	15	15
N35	24	24
N36	6	6

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	27	28	7	13	13
E11	37	41	5	9	9
E12	2	8	10	20	20
E13	25	31	7	11	11
E14	38	39	9	10	10
E15	17	18	4	7	7
E16	40	41	4	4	4
E17	21	27	1	3	3
E18	26	27	7	11	11
E19	5	11	4	8	8
E20	30	31	12	19	19
E21	23	24	3	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	2	3	1
NrE2	20	27	5
NrE3	16	17	9
NrE4	22	28	5
NrE5	35	39	10
NrE6	18	22	6
NrE7	27	32	3
NrE8	21	22	4
NrE9	4	5	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A34	39	36	3	5	5
A35	36	39	3	4	4
A36	19	16	1	1	1
A37	37	33	2	2	2
A38	29	34	14	8	8
A39	36	40	4	7	7
A40	13	23	7	7	7
A41	20	17	2	2	2
A42	30	29	3	6	6
A43	38	34	7	6	6
A44	16	15	3	6	6
A45	33	27	5	5	5
A46	9	10	3	3	3
A47	20	19	3	2	2
A48	25	15	9	19	19
A49	17	11	2	4	4
A50	33	37	2	2	2
A51	24	30	8	6	6
A52	31	32	5	4	4
A53	13	7	7	7	7
A54	32	36	10	6	6
A55	16	19	1	1	1
A56	7	13	7	7	7
A57	23	14	3	4	4
A58	11	10	4	4	4
A59	23	29	5	7	7
A60	9	3	1	1	1
A61	4	3	7	8	8
A62	36	32	10	7	7
A63	2	1	1	1	1
A64	10	9	3	3	3
A65	10	11	4	3	3
A66	10	15	1	1	1
A67	34	35	2	4	4
A68	23	13	7	7	7
A69	6	5	6	13	13
A70	25	24	4	4	4
A71	14	15	3	4	4
A72	8	9	2	3	3
A73	26	25	6	5	5
A74	1	7	5	7	7
A75	39	40	2	3	3
A76	14	13	8	8	8
A77	15	14	3	4	4
A78	37	36	8	12	12
A79	32	26	7	7	7
A80	11	12	5	4	4
A81	29	23	5	7	7
A82	25	26	6	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	4	10	3
NrA2	35	31	4
NrA3	15	10	1
NrA4	19	20	3
NrA5	11	16	6
NrA6	7	1	5
NrA7	26	32	7
NrA8	7	8	2
NrA9	17	20	2
NrA10	24	14	4
NrA11	35	36	8
NrA12	13	14	8
NrA13	21	20	5
NrA14	20	21	5
NrA15	12	6	3
NrA16	34	29	14
NrA17	36	35	8
NrA18	16	11	6
NrA19	27	33	5
NrA20	24	25	4
NrA21	1	2	1
NrA22	9	14	5
NrA23	32	31	5
NrA24	12	11	5
NrA25	34	38	7
NrA26	3	4	7
NrA27	14	23	3
NrA28	30	24	8
NrA29	6	12	3
NrA30	10	4	3
NrA31	31	35	4
NrA32	14	24	4
NrA33	19	26	8
