Name:		mgval_0.40_4D
Optimal value:	-1
#Vehicles:	9
Capacity:	75
Depot Node:	1
#Nodes:		41
#Edges:		21
#Arcs:		83
#Required N:	27
#Required E:	12
#Required A:	49

ReN.	DEMAND	S. COST
N2	13	13
N4	2	2
N5	13	13
N8	2	2
N9	16	16
N13	8	8
N14	14	14
N15	2	2
N17	7	7
N19	8	8
N20	12	12
N21	9	9
N23	21	21
N24	12	12
N27	23	23
N29	11	11
N30	3	3
N31	16	16
N32	13	13
N34	2	2
N35	2	2
N36	19	19
N37	4	4
N38	6	6
N39	1	1
N40	2	2
N41	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	36	40	4	7	7
E11	11	16	6	12	12
E12	25	31	7	11	11
E13	24	25	4	7	7
E14	14	15	3	8	8
E15	11	17	2	4	4
E16	10	11	4	7	7
E17	16	17	9	15	15
E18	8	9	2	3	3
E19	3	9	1	1	1
E20	15	25	9	19	19
E21	30	31	12	19	19

EDGE	FROM N.	TO N.	T. COST
NrE1	21	22	4
NrE2	17	18	4
NrE3	24	30	8
NrE4	20	21	5
NrE5	27	32	3
NrE6	9	10	3
NrE7	9	14	5
NrE8	5	6	6
NrE9	4	5	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A35	38	39	9	5	5
A36	16	19	1	1	1
A37	4	3	7	8	8
A38	16	15	3	3	3
A39	37	33	2	4	4
A40	3	2	1	1	1
A41	1	7	5	7	7
A42	26	19	8	5	5
A43	27	33	5	4	4
A44	26	32	7	6	6
A45	8	2	10	10	10
A46	33	27	5	5	5
A47	24	14	4	7	7
A48	12	6	3	4	4
A49	26	25	6	5	5
A50	39	38	9	5	5
A51	24	23	3	2	2
A52	15	16	3	3	3
A53	20	19	3	2	2
A54	28	27	7	13	13
A55	4	10	3	7	7
A56	34	29	14	9	9
A57	3	4	7	7	7
A58	13	23	7	7	7
A59	34	38	7	6	6
A60	10	15	1	1	1
A61	25	26	6	4	4
A62	39	35	10	7	7
A63	12	11	5	5	5
A64	40	39	2	2	2
A65	35	36	8	6	6
A66	35	39	10	7	7
A67	41	40	4	2	2
A68	7	1	5	8	8
A69	39	36	3	9	9
A70	7	8	2	1	1
A71	27	21	1	3	3
A72	23	24	3	2	2
A73	6	12	3	4	4
A74	17	20	2	2	2
A75	20	27	5	4	4
A76	18	22	6	14	14
A77	11	5	4	8	8
A78	22	28	5	6	6
A79	13	7	7	14	14
A80	29	23	5	7	7
A81	11	12	5	4	4
A82	37	36	8	6	6
A83	28	22	5	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	1
NrA2	27	26	7
NrA3	14	24	4
NrA4	2	8	10
NrA5	2	3	1
NrA6	35	34	2
NrA7	36	32	10
NrA8	19	26	8
NrA9	32	36	10
NrA10	41	37	5
NrA11	20	17	2
NrA12	39	40	2
NrA13	38	34	7
NrA14	31	32	5
NrA15	15	10	1
NrA16	32	26	7
NrA17	23	13	7
NrA18	27	20	5
NrA19	30	29	3
NrA20	8	7	2
NrA21	23	14	3
NrA22	13	14	8
NrA23	40	41	4
NrA24	37	41	5
NrA25	14	13	8
NrA26	36	35	8
NrA27	19	16	1
NrA28	29	34	14
NrA29	34	35	2
NrA30	23	29	5
NrA31	36	37	8
NrA32	31	35	4
NrA33	19	20	3
NrA34	29	30	3
