Name:		mgval_0.40_9A
Optimal value:	-1
#Vehicles:	3
Capacity:	235
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		100
#Required N:	35
#Required E:	19
#Required A:	60

ReN.	DEMAND	S. COST
N3	7	7
N4	3	3
N6	6	6
N7	15	15
N9	1	1
N10	7	7
N11	9	9
N13	11	11
N14	7	7
N15	11	11
N16	13	13
N17	6	6
N18	3	3
N21	6	6
N22	5	5
N23	15	15
N24	5	5
N25	7	7
N26	2	2
N27	1	1
N29	11	11
N30	2	2
N31	9	9
N32	2	2
N33	4	4
N35	3	3
N36	1	1
N39	10	10
N40	2	2
N41	6	6
N43	10	10
N44	9	9
N47	12	12
N48	5	5
N49	13	13

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E14	36	44	5	10	10
E15	18	19	1	2	2
E16	45	50	3	7	7
E17	8	9	5	10	10
E18	25	33	1	4	4
E19	28	36	5	8	8
E20	2	5	2	4	4
E21	34	42	4	10	10
E22	10	17	4	8	8
E23	28	29	5	8	8
E24	43	48	7	12	12
E25	35	43	6	14	14
E26	26	34	4	6	6
E27	17	30	6	14	14
E28	21	26	2	4	4
E29	35	36	2	4	4
E30	19	32	7	16	16
E31	24	29	2	6	6
E32	10	11	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	7	12	2
NrE2	23	28	2
NrE3	39	40	4
NrE4	29	37	3
NrE5	31	39	4
NrE6	11	18	3
NrE7	6	11	3
NrE8	25	26	2
NrE9	21	22	2
NrE10	16	17	3
NrE11	23	24	2
NrE12	43	44	4
NrE13	44	45	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A41	33	41	4	5	5
A42	37	38	2	2	2
A43	6	7	3	3	3
A44	42	41	2	2	2
A45	45	48	5	6	6
A46	1	10	4	6	6
A47	50	49	2	8	8
A48	14	9	1	2	2
A49	32	31	2	4	4
A50	38	30	3	2	2
A51	22	23	5	4	4
A52	46	38	3	6	6
A53	20	25	3	2	2
A54	12	19	4	8	8
A55	8	13	6	5	5
A56	46	45	2	2	2
A57	43	42	2	5	5
A58	39	30	2	5	5
A59	9	1	3	4	4
A60	13	21	1	1	1
A61	38	36	1	2	2
A62	15	1	4	4	4
A63	10	5	2	5	5
A64	9	13	4	12	12
A65	41	42	2	2	2
A66	1	16	4	6	6
A67	45	46	2	2	2
A68	30	29	1	2	2
A69	23	29	4	1	1
A70	4	3	3	6	6
A71	27	26	3	3	3
A72	15	16	4	5	5
A73	2	3	2	1	1
A74	12	11	2	3	3
A75	14	22	4	8	8
A76	11	12	2	2	2
A77	1	9	3	3	3
A78	38	37	2	3	3
A79	48	45	5	6	6
A80	17	31	4	15	15
A81	3	2	2	2	2
A82	5	6	2	4	4
A83	39	38	3	7	7
A84	35	27	2	4	4
A85	40	47	3	5	5
A86	34	35	1	2	2
A87	28	27	1	2	2
A88	1	5	3	12	12
A89	38	46	3	6	6
A90	16	15	4	5	5
A91	27	35	2	3	3
A92	21	20	1	3	3
A93	50	46	2	4	4
A94	20	21	1	2	2
A95	6	5	2	4	4
A96	39	47	5	7	7
A97	15	23	1	1	1
A98	24	17	4	6	6
A99	22	28	4	8	8
A100	37	44	3	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	3	6	4
NrA2	47	40	3
NrA3	7	4	3
NrA4	21	13	1
NrA5	47	39	5
NrA6	22	13	4
NrA7	13	8	6
NrA8	27	28	1
NrA9	14	23	2
NrA10	25	20	3
NrA11	4	7	3
NrA12	1	15	4
NrA13	13	22	4
NrA14	10	1	4
NrA15	17	24	4
NrA16	33	34	2
NrA17	31	32	2
NrA18	48	49	4
NrA19	40	32	2
NrA20	29	30	1
NrA21	49	45	3
NrA22	35	34	1
NrA23	18	17	1
NrA24	41	33	4
NrA25	44	37	3
NrA26	24	30	3
NrA27	49	48	4
NrA28	30	38	3
NrA29	14	15	3
NrA30	32	40	2
NrA31	36	38	1
NrA32	26	27	3
NrA33	23	22	5
NrA34	15	24	2
NrA35	9	14	1
NrA36	29	23	4
NrA37	15	14	3
NrA38	7	6	3
NrA39	16	1	4
NrA40	23	15	1
