Name:		mgval_0.40_9B
Optimal value:	-1
#Vehicles:	4
Capacity:	175
Depot Node:	1
#Nodes:		50
#Edges:		44
#Arcs:		76
#Required N:	34
#Required E:	26
#Required A:	45

ReN.	DEMAND	S. COST
N3	2	2
N4	3	3
N5	16	16
N6	7	7
N8	5	5
N9	10	10
N10	4	4
N11	5	5
N12	8	8
N14	8	8
N15	11	11
N16	6	6
N17	7	7
N18	7	7
N21	2	2
N22	13	13
N24	6	6
N26	10	10
N27	1	1
N28	10	10
N29	13	13
N31	7	7
N33	2	2
N35	11	11
N37	8	8
N38	12	12
N39	14	14
N40	15	15
N41	4	4
N42	5	5
N43	10	10
N45	5	5
N49	8	8
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E19	6	11	3	6	6
E20	17	24	4	12	12
E21	46	50	2	4	4
E22	43	48	7	12	12
E23	38	39	3	7	7
E24	32	40	2	4	4
E25	48	49	4	10	10
E26	3	4	3	6	6
E27	14	15	3	5	5
E28	34	42	4	10	10
E29	14	23	2	5	5
E30	19	32	7	16	16
E31	16	17	3	7	7
E32	1	10	4	13	13
E33	10	17	4	8	8
E34	5	10	2	5	5
E35	25	33	1	4	4
E36	15	16	4	10	10
E37	45	46	2	4	4
E38	26	27	3	5	5
E39	15	24	2	4	4
E40	23	29	4	3	3
E41	7	12	2	8	8
E42	2	5	2	4	4
E43	31	39	4	6	6
E44	3	6	4	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	11	12	2
NrE2	28	36	5
NrE3	35	36	2
NrE4	6	7	3
NrE5	42	43	2
NrE6	38	46	3
NrE7	26	34	4
NrE8	31	32	2
NrE9	12	19	4
NrE10	15	23	1
NrE11	41	42	2
NrE12	10	11	2
NrE13	37	44	3
NrE14	43	44	4
NrE15	1	9	3
NrE16	39	47	5
NrE17	14	22	4
NrE18	40	47	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A32	24	30	3	5	5
A33	13	21	1	1	1
A34	17	18	1	1	1
A35	43	35	6	14	14
A36	45	48	5	12	12
A37	35	34	1	5	5
A38	30	17	6	7	7
A39	2	3	2	1	1
A40	11	18	3	4	4
A41	29	37	3	7	7
A42	25	20	3	3	3
A43	38	37	2	5	5
A44	21	20	1	3	3
A45	13	22	4	5	5
A46	30	29	1	2	2
A47	28	22	4	4	4
A48	7	4	3	3	3
A49	13	8	6	11	11
A50	34	33	2	2	2
A51	36	44	5	10	10
A52	6	5	2	4	4
A53	39	30	2	5	5
A54	39	40	4	5	5
A55	21	26	2	4	4
A56	23	22	5	4	4
A57	33	41	4	5	5
A58	30	38	3	4	4
A59	18	17	1	2	2
A60	13	9	4	12	12
A61	21	13	1	2	2
A62	22	21	2	2	2
A63	38	36	1	2	2
A64	45	49	3	4	4
A65	45	50	3	3	3
A66	1	16	4	6	6
A67	9	8	5	5	5
A68	31	17	4	8	8
A69	17	31	4	7	7
A70	23	24	2	2	2
A71	23	28	2	4	4
A72	41	33	4	6	6
A73	20	21	1	2	2
A74	36	38	1	1	1
A75	50	45	3	4	4
A76	20	25	3	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	49	45	3
NrA2	1	15	4
NrA3	29	24	2
NrA4	28	27	1
NrA5	15	1	4
NrA6	18	19	1
NrA7	9	14	1
NrA8	24	29	2
NrA9	8	9	5
NrA10	49	50	2
NrA11	40	39	4
NrA12	5	6	2
NrA13	22	13	4
NrA14	3	2	2
NrA15	18	11	3
NrA16	26	25	2
NrA17	35	27	2
NrA18	33	34	2
NrA19	22	23	5
NrA20	29	30	1
NrA21	22	28	4
NrA22	21	22	2
NrA23	50	49	2
NrA24	24	23	2
NrA25	27	28	1
NrA26	16	1	4
NrA27	5	1	3
NrA28	4	7	3
NrA29	29	28	5
NrA30	17	30	6
NrA31	45	44	2
