Name:		mgval_0.40_9D
Optimal value:	-1
#Vehicles:	10
Capacity:	70
Depot Node:	1
#Nodes:		50
#Edges:		38
#Arcs:		93
#Required N:	39
#Required E:	22
#Required A:	55

ReN.	DEMAND	S. COST
N2	1	1
N3	10	10
N5	4	4
N6	7	7
N7	4	4
N8	10	10
N9	13	13
N10	13	13
N12	3	3
N13	15	15
N14	10	10
N15	8	8
N16	6	6
N17	22	22
N18	2	2
N20	7	7
N22	13	13
N23	2	2
N24	3	3
N26	11	11
N27	1	1
N28	10	10
N29	7	7
N30	5	5
N31	3	3
N32	8	8
N33	11	11
N34	15	15
N35	7	7
N38	3	3
N39	17	17
N41	4	4
N42	5	5
N43	7	7
N44	8	8
N46	4	4
N47	10	10
N49	4	4
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E17	12	19	4	8	8
E18	2	5	2	4	4
E19	32	40	2	4	4
E20	45	50	3	7	7
E21	5	10	2	5	5
E22	28	36	5	8	8
E23	21	22	2	4	4
E24	38	46	3	12	12
E25	28	29	5	8	8
E26	30	38	3	4	4
E27	11	18	3	9	9
E28	4	7	3	6	6
E29	46	50	2	4	4
E30	35	36	2	4	4
E31	36	44	5	10	10
E32	17	18	1	3	3
E33	45	48	5	12	12
E34	15	24	2	4	4
E35	21	26	2	4	4
E36	17	24	4	12	12
E37	9	14	1	3	3
E38	23	28	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	17	31	4
NrE2	33	41	4
NrE3	20	21	1
NrE4	14	15	3
NrE5	3	6	4
NrE6	13	21	1
NrE7	41	42	2
NrE8	42	43	2
NrE9	14	23	2
NrE10	1	15	4
NrE11	26	34	4
NrE12	29	30	1
NrE13	26	27	3
NrE14	22	23	5
NrE15	6	7	3
NrE16	34	42	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A39	37	29	3	4	4
A40	24	30	3	2	2
A41	49	45	3	4	4
A42	49	48	4	5	5
A43	45	44	2	5	5
A44	30	17	6	7	7
A45	11	12	2	2	2
A46	8	13	6	5	5
A47	17	10	4	4	4
A48	14	22	4	4	4
A49	31	39	4	3	3
A50	22	14	4	4	4
A51	15	16	4	5	5
A52	25	33	1	2	2
A53	5	1	3	6	6
A54	29	37	3	3	3
A55	1	5	3	6	6
A56	47	39	5	7	7
A57	25	26	2	2	2
A58	44	43	4	5	5
A59	12	7	2	4	4
A60	26	25	2	2	2
A61	10	17	4	4	4
A62	48	49	4	5	5
A63	16	17	3	7	7
A64	6	11	3	3	3
A65	32	31	2	4	4
A66	1	16	4	6	6
A67	16	15	4	5	5
A68	39	31	4	3	3
A69	48	43	7	6	6
A70	6	5	2	4	4
A71	11	6	3	3	3
A72	19	32	7	8	8
A73	10	11	2	4	4
A74	33	34	2	4	4
A75	29	23	4	2	2
A76	23	29	4	1	1
A77	39	30	2	3	3
A78	39	47	5	7	7
A79	15	23	1	1	1
A80	33	25	1	2	2
A81	38	36	1	2	2
A82	4	3	3	3	3
A83	37	38	2	2	2
A84	27	35	2	7	7
A85	43	48	7	6	6
A86	43	44	4	5	5
A87	24	29	2	3	3
A88	45	49	3	4	4
A89	13	22	4	5	5
A90	3	2	2	2	2
A91	25	20	3	3	3
A92	23	24	2	2	2
A93	36	38	1	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	20	25	3
NrA2	23	15	1
NrA3	1	10	4
NrA4	32	19	7
NrA5	47	40	3
NrA6	2	3	2
NrA7	8	9	5
NrA8	18	19	1
NrA9	38	37	2
NrA10	39	40	4
NrA11	31	32	2
NrA12	9	13	4
NrA13	9	1	3
NrA14	39	38	3
NrA15	29	24	2
NrA16	34	35	1
NrA17	13	9	4
NrA18	46	45	2
NrA19	30	39	2
NrA20	27	28	1
NrA21	44	37	3
NrA22	5	6	2
NrA23	24	23	2
NrA24	22	13	4
NrA25	16	1	4
NrA26	50	49	2
NrA27	43	35	6
NrA28	17	30	6
NrA29	28	27	1
NrA30	12	11	2
NrA31	13	8	6
NrA32	28	22	4
NrA33	30	24	3
NrA34	3	4	3
NrA35	35	43	6
NrA36	7	12	2
NrA37	1	9	3
NrA38	49	50	2
