Name:		mgval_0.45_10C
Optimal value:	-1
#Vehicles:	5
Capacity:	150
Depot Node:	1
#Nodes:		50
#Edges:		36
#Arcs:		100
#Required N:	37
#Required E:	19
#Required A:	55

ReN.	DEMAND	S. COST
N2	10	10
N5	4	4
N6	7	7
N7	10	10
N8	5	5
N9	13	13
N10	3	3
N11	5	5
N12	3	3
N13	5	5
N14	9	9
N15	6	6
N18	6	6
N19	3	3
N20	28	28
N21	6	6
N22	11	11
N23	10	10
N24	11	11
N25	6	6
N26	7	7
N27	16	16
N29	5	5
N31	14	14
N33	18	18
N34	3	3
N35	5	5
N36	10	10
N37	4	4
N38	23	23
N40	5	5
N41	7	7
N43	13	13
N44	2	2
N47	2	2
N48	10	10
N49	15	15

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E18	26	34	5	10	10
E19	29	39	5	7	7
E20	28	32	1	4	4
E21	35	36	3	6	6
E22	43	50	6	6	6
E23	40	41	3	4	4
E24	15	23	1	6	6
E25	29	33	6	8	8
E26	1	6	2	7	7
E27	3	9	5	6	6
E28	32	37	3	7	7
E29	10	17	7	11	11
E30	11	19	1	8	8
E31	16	17	7	8	8
E32	43	45	1	4	4
E33	34	35	2	5	5
E34	11	12	3	5	5
E35	27	31	7	12	12
E36	24	32	5	11	11

EDGE	FROM N.	TO N.	T. COST
NrE1	33	39	3
NrE2	26	29	2
NrE3	14	22	5
NrE4	20	30	9
NrE5	27	30	3
NrE6	2	3	6
NrE7	36	42	2
NrE8	26	30	1
NrE9	22	23	2
NrE10	9	10	8
NrE11	33	46	6
NrE12	6	12	2
NrE13	38	45	7
NrE14	41	48	1
NrE15	20	21	4
NrE16	25	28	3
NrE17	23	31	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A46	23	24	6	4	4
A47	21	27	4	7	7
A48	50	45	3	4	4
A49	34	33	4	3	3
A50	6	7	5	3	3
A51	43	37	2	7	7
A52	17	25	7	8	8
A53	26	19	1	3	3
A54	1	2	10	6	6
A55	30	34	1	2	2
A56	13	6	3	8	8
A57	25	24	2	4	4
A58	31	37	2	3	3
A59	37	31	2	3	3
A60	7	2	1	4	4
A61	1	5	7	4	4
A62	28	38	6	5	5
A63	2	7	1	3	3
A64	50	44	5	7	7
A65	41	42	4	3	3
A66	9	8	3	3	3
A67	8	14	3	7	7
A68	33	40	3	3	3
A69	14	13	2	3	3
A70	5	1	7	4	4
A71	14	15	1	2	2
A72	3	4	6	9	9
A73	46	47	4	7	7
A74	44	42	1	2	2
A75	4	10	3	3	3
A76	18	26	2	9	9
A77	47	48	3	3	3
A78	48	47	3	3	3
A79	45	50	3	3	3
A80	42	41	4	3	3
A81	18	29	5	5	5
A82	19	20	3	4	4
A83	42	44	1	1	1
A84	16	15	2	4	4
A85	2	1	10	7	7
A86	40	34	1	3	3
A87	15	9	2	8	8
A88	38	32	5	9	9
A89	12	13	1	2	2
A90	36	27	8	6	6
A91	49	41	2	4	4
A92	16	24	3	3	3
A93	21	22	5	5	5
A94	5	6	9	10	10
A95	5	18	9	6	6
A96	34	40	1	2	2
A97	18	19	1	4	4
A98	33	34	4	3	3
A99	13	14	2	3	3
A100	16	9	5	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	44	49	4
NrA2	27	36	8
NrA3	7	8	2
NrA4	19	26	1
NrA5	8	9	3
NrA6	43	42	4
NrA7	49	44	4
NrA8	40	47	2
NrA9	20	12	2
NrA10	13	12	1
NrA11	24	16	3
NrA12	15	16	2
NrA13	8	7	2
NrA14	15	14	1
NrA15	34	30	1
NrA16	12	20	2
NrA17	43	38	3
NrA18	35	27	6
NrA19	49	50	10
NrA20	18	5	9
NrA21	29	18	5
NrA22	48	49	7
NrA23	31	22	6
NrA24	20	19	3
NrA25	9	16	5
NrA26	7	13	4
NrA27	10	4	3
NrA28	47	40	2
NrA29	41	35	3
NrA30	40	33	3
NrA31	11	5	3
NrA32	38	28	6
NrA33	24	25	2
NrA34	24	23	6
NrA35	36	37	2
NrA36	5	11	3
NrA37	38	43	3
NrA38	27	35	6
NrA39	13	7	4
NrA40	37	38	7
NrA41	31	32	3
NrA42	38	37	7
NrA43	7	6	5
NrA44	22	21	5
NrA45	21	13	3
