Name:		mgval_0.45_9A
Optimal value:	-1
#Vehicles:	3
Capacity:	235
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		100
#Required N:	37
#Required E:	17
#Required A:	55

ReN.	DEMAND	S. COST
N2	1	1
N3	7	7
N6	3	3
N7	12	12
N8	15	15
N9	20	20
N10	18	18
N14	15	15
N15	5	5
N16	11	11
N17	14	14
N18	3	3
N19	16	16
N21	7	7
N22	9	9
N23	8	8
N24	12	12
N25	7	7
N27	1	1
N28	2	2
N29	2	2
N30	2	2
N31	9	9
N32	2	2
N33	4	4
N34	10	10
N35	18	18
N36	10	10
N37	4	4
N38	5	5
N39	12	12
N40	2	2
N44	9	9
N46	2	2
N47	5	5
N49	5	5
N50	12	12

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E16	26	34	4	6	6
E17	39	40	4	10	10
E18	11	18	3	9	9
E19	21	22	2	4	4
E20	43	44	4	10	10
E21	43	48	7	12	12
E22	23	28	2	4	4
E23	25	33	1	4	4
E24	28	29	5	8	8
E25	16	17	3	7	7
E26	45	50	3	7	7
E27	18	19	1	2	2
E28	6	11	3	6	6
E29	29	37	3	7	7
E30	28	36	5	8	8
E31	2	5	2	4	4
E32	35	36	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	31	39	4
NrE2	10	17	4
NrE3	8	9	5
NrE4	7	12	2
NrE5	10	11	2
NrE6	17	30	6
NrE7	19	32	7
NrE8	24	29	2
NrE9	44	45	2
NrE10	34	42	4
NrE11	35	43	6
NrE12	25	26	2
NrE13	36	44	5
NrE14	21	26	2
NrE15	23	24	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A46	4	3	3	6	6
A47	10	5	2	5	5
A48	22	28	4	8	8
A49	45	46	2	2	2
A50	20	21	1	2	2
A51	46	38	3	6	6
A52	38	30	3	2	2
A53	16	1	4	6	6
A54	36	38	1	1	1
A55	17	31	4	15	15
A56	1	15	4	4	4
A57	39	47	5	7	7
A58	15	16	4	5	5
A59	17	24	4	6	6
A60	27	26	3	3	3
A61	13	8	6	6	6
A62	47	39	5	7	7
A63	14	15	3	2	2
A64	15	24	2	4	4
A65	29	30	1	2	2
A66	23	22	5	4	4
A67	48	45	5	6	6
A68	3	2	2	2	2
A69	11	12	2	2	2
A70	42	41	2	2	2
A71	35	34	1	3	3
A72	12	11	2	3	3
A73	49	45	3	8	8
A74	26	27	3	2	2
A75	30	38	3	2	2
A76	33	41	4	5	5
A77	20	25	3	2	2
A78	38	46	3	6	6
A79	32	31	2	4	4
A80	40	47	3	5	5
A81	7	4	3	3	3
A82	48	49	4	5	5
A83	21	13	1	2	2
A84	13	22	4	5	5
A85	4	7	3	3	3
A86	1	5	3	12	12
A87	12	19	4	8	8
A88	6	5	2	4	4
A89	41	33	4	6	6
A90	37	38	2	2	2
A91	13	21	1	1	1
A92	10	1	4	7	7
A93	43	42	2	5	5
A94	15	14	3	3	3
A95	24	30	3	5	5
A96	45	48	5	6	6
A97	27	35	2	3	3
A98	5	6	2	4	4
A99	41	42	2	2	2
A100	34	35	1	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	14	23	2
NrA2	22	23	5
NrA3	39	30	2
NrA4	9	1	3
NrA5	7	6	3
NrA6	3	6	4
NrA7	23	29	4
NrA8	9	13	4
NrA9	24	17	4
NrA10	8	13	6
NrA11	1	16	4
NrA12	33	34	2
NrA13	23	15	1
NrA14	46	45	2
NrA15	38	36	1
NrA16	35	27	2
NrA17	50	49	2
NrA18	28	27	1
NrA19	49	48	4
NrA20	6	7	3
NrA21	31	32	2
NrA22	15	1	4
NrA23	27	28	1
NrA24	14	9	1
NrA25	18	17	1
NrA26	50	46	2
NrA27	1	10	4
NrA28	22	13	4
NrA29	9	14	1
NrA30	25	20	3
NrA31	37	44	3
NrA32	39	38	3
NrA33	14	22	4
NrA34	32	40	2
NrA35	1	9	3
NrA36	38	37	2
NrA37	30	29	1
NrA38	29	23	4
NrA39	21	20	1
NrA40	15	23	1
NrA41	47	40	3
NrA42	16	15	4
NrA43	44	37	3
NrA44	2	3	2
NrA45	40	32	2
