Name:		mgval_0.45_9B
Optimal value:	-1
#Vehicles:	4
Capacity:	175
Depot Node:	1
#Nodes:		50
#Edges:		44
#Arcs:		76
#Required N:	35
#Required E:	24
#Required A:	41

ReN.	DEMAND	S. COST
N2	4	4
N3	2	2
N5	5	5
N6	13	13
N7	3	3
N10	25	25
N13	1	1
N14	13	13
N15	7	7
N16	12	12
N17	20	20
N18	4	4
N20	2	2
N21	2	2
N22	6	6
N23	4	4
N24	5	5
N25	3	3
N26	9	9
N27	1	1
N28	8	8
N29	10	10
N30	9	9
N31	13	13
N32	4	4
N33	2	2
N34	2	2
N35	16	16
N39	5	5
N40	15	15
N41	6	6
N43	24	24
N45	8	8
N48	10	10
N49	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E21	46	50	2	4	4
E22	43	48	7	12	12
E23	42	43	2	5	5
E24	38	46	3	12	12
E25	11	12	2	5	5
E26	19	32	7	16	16
E27	25	33	1	4	4
E28	39	47	5	14	14
E29	15	24	2	4	4
E30	12	19	4	8	8
E31	3	6	4	7	7
E32	45	46	2	4	4
E33	16	17	3	7	7
E34	1	9	3	7	7
E35	14	15	3	5	5
E36	37	44	3	8	8
E37	41	42	2	4	4
E38	3	4	3	6	6
E39	15	16	4	10	10
E40	38	39	3	7	7
E41	7	12	2	8	8
E42	23	29	4	3	3
E43	26	34	4	6	6
E44	34	42	4	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	15	23	1
NrE2	1	10	4
NrE3	14	22	4
NrE4	6	11	3
NrE5	35	36	2
NrE6	5	10	2
NrE7	31	39	4
NrE8	6	7	3
NrE9	14	23	2
NrE10	40	47	3
NrE11	28	36	5
NrE12	43	44	4
NrE13	10	17	4
NrE14	48	49	4
NrE15	32	40	2
NrE16	31	32	2
NrE17	10	11	2
NrE18	17	24	4
NrE19	2	5	2
NrE20	26	27	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A36	9	14	1	3	3
A37	45	49	3	4	4
A38	28	27	1	2	2
A39	18	11	3	5	5
A40	13	22	4	5	5
A41	28	22	4	4	4
A42	45	48	5	12	12
A43	2	3	2	1	1
A44	50	45	3	4	4
A45	6	5	2	4	4
A46	11	18	3	4	4
A47	21	26	2	4	4
A48	36	44	5	10	10
A49	33	41	4	5	5
A50	22	13	4	5	5
A51	4	7	3	3	3
A52	38	36	1	2	2
A53	23	24	2	2	2
A54	5	1	3	12	12
A55	24	29	2	3	3
A56	38	37	2	5	5
A57	22	28	4	4	4
A58	13	9	4	12	12
A59	20	25	3	2	2
A60	30	38	3	4	4
A61	21	22	2	2	2
A62	17	31	4	7	7
A63	13	8	6	11	11
A64	39	40	4	5	5
A65	36	38	1	1	1
A66	1	15	4	4	4
A67	24	23	2	3	3
A68	31	17	4	8	8
A69	50	49	2	4	4
A70	29	24	2	3	3
A71	5	6	2	4	4
A72	8	9	5	5	5
A73	21	20	1	3	3
A74	9	8	5	5	5
A75	23	22	5	4	4
A76	29	37	3	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	43	35	6
NrA2	18	19	1
NrA3	45	50	3
NrA4	27	28	1
NrA5	35	34	1
NrA6	21	13	1
NrA7	45	44	2
NrA8	33	34	2
NrA9	24	30	3
NrA10	22	23	5
NrA11	30	17	6
NrA12	20	21	1
NrA13	29	28	5
NrA14	26	25	2
NrA15	22	21	2
NrA16	16	1	4
NrA17	17	18	1
NrA18	17	30	6
NrA19	18	17	1
NrA20	13	21	1
NrA21	29	30	1
NrA22	25	20	3
NrA23	39	30	2
NrA24	1	16	4
NrA25	7	4	3
NrA26	40	39	4
NrA27	30	29	1
NrA28	34	33	2
NrA29	41	33	4
NrA30	23	28	2
NrA31	49	50	2
NrA32	49	45	3
NrA33	15	1	4
NrA34	3	2	2
NrA35	35	27	2
