Name:		mgval_0.45_9D
Optimal value:	-1
#Vehicles:	10
Capacity:	70
Depot Node:	1
#Nodes:		50
#Edges:		38
#Arcs:		93
#Required N:	37
#Required E:	20
#Required A:	51

ReN.	DEMAND	S. COST
N2	4	4
N3	9	9
N4	9	9
N5	15	15
N6	4	4
N8	10	10
N9	13	13
N10	4	4
N11	5	5
N12	4	4
N13	9	9
N14	5	5
N15	6	6
N16	12	12
N17	19	19
N19	8	8
N20	5	5
N21	4	4
N22	8	8
N23	4	4
N24	8	8
N25	2	2
N27	1	1
N28	16	16
N29	7	7
N30	10	10
N32	12	12
N33	11	11
N35	7	7
N36	10	10
N38	12	12
N39	17	17
N43	13	13
N44	13	13
N45	12	12
N47	7	7
N49	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E19	11	18	3	9	9
E20	26	34	4	6	6
E21	30	38	3	4	4
E22	46	50	2	4	4
E23	9	14	1	3	3
E24	26	27	3	5	5
E25	34	42	4	10	10
E26	17	31	4	15	15
E27	14	15	3	5	5
E28	23	28	2	4	4
E29	35	36	2	4	4
E30	15	24	2	4	4
E31	28	29	5	8	8
E32	1	15	4	8	8
E33	6	7	3	7	7
E34	45	50	3	7	7
E35	21	22	2	4	4
E36	42	43	2	5	5
E37	12	19	4	8	8
E38	41	42	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	17	18	1
NrE2	32	40	2
NrE3	14	23	2
NrE4	3	6	4
NrE5	33	41	4
NrE6	38	46	3
NrE7	20	21	1
NrE8	2	5	2
NrE9	4	7	3
NrE10	45	48	5
NrE11	21	26	2
NrE12	28	36	5
NrE13	13	21	1
NrE14	5	10	2
NrE15	36	44	5
NrE16	29	30	1
NrE17	17	24	4
NrE18	22	23	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A43	1	5	3	6	6
A44	45	49	3	4	4
A45	3	4	3	3	3
A46	49	45	3	4	4
A47	31	32	2	3	3
A48	50	49	2	4	4
A49	43	44	4	5	5
A50	7	12	2	4	4
A51	45	44	2	5	5
A52	36	38	1	1	1
A53	46	45	2	4	4
A54	37	29	3	4	4
A55	48	43	7	6	6
A56	31	39	4	3	3
A57	18	19	1	2	2
A58	48	49	4	5	5
A59	25	20	3	3	3
A60	14	22	4	4	4
A61	29	37	3	3	3
A62	22	14	4	4	4
A63	32	31	2	4	4
A64	6	11	3	3	3
A65	2	3	2	1	1
A66	23	29	4	1	1
A67	10	17	4	4	4
A68	34	35	1	5	5
A69	38	36	1	2	2
A70	1	10	4	13	13
A71	12	11	2	3	3
A72	39	31	4	3	3
A73	27	35	2	7	7
A74	28	27	1	2	2
A75	16	15	4	5	5
A76	47	40	3	10	10
A77	33	25	1	2	2
A78	13	8	6	6	6
A79	33	34	2	4	4
A80	13	22	4	5	5
A81	38	37	2	3	3
A82	8	13	6	5	5
A83	20	25	3	2	2
A84	37	38	2	2	2
A85	25	26	2	2	2
A86	22	13	4	5	5
A87	29	23	4	2	2
A88	16	17	3	7	7
A89	49	48	4	5	5
A90	39	40	4	10	10
A91	17	30	6	7	7
A92	26	25	2	2	2
A93	30	39	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	27	28	1
NrA2	25	33	1
NrA3	12	7	2
NrA4	29	24	2
NrA5	9	1	3
NrA6	17	10	4
NrA7	39	30	2
NrA8	13	9	4
NrA9	39	38	3
NrA10	49	50	2
NrA11	23	24	2
NrA12	35	43	6
NrA13	32	19	7
NrA14	16	1	4
NrA15	9	13	4
NrA16	23	15	1
NrA17	19	32	7
NrA18	4	3	3
NrA19	1	16	4
NrA20	5	1	3
NrA21	43	35	6
NrA22	15	16	4
NrA23	24	29	2
NrA24	24	30	3
NrA25	30	17	6
NrA26	3	2	2
NrA27	15	23	1
NrA28	10	11	2
NrA29	44	37	3
NrA30	11	6	3
NrA31	30	24	3
NrA32	28	22	4
NrA33	47	39	5
NrA34	8	9	5
NrA35	5	6	2
NrA36	44	43	4
NrA37	39	47	5
NrA38	6	5	2
NrA39	1	9	3
NrA40	11	12	2
NrA41	24	23	2
NrA42	43	48	7
