Name:		mgval_0.50_10A
Optimal value:	-1
#Vehicles:	3
Capacity:	250
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		106
#Required N:	40
#Required E:	16
#Required A:	53

ReN.	DEMAND	S. COST
N2	26	26
N3	9	9
N4	3	3
N5	14	14
N6	10	10
N7	3	3
N8	7	7
N9	17	17
N10	5	5
N12	9	9
N15	3	3
N16	9	9
N17	14	14
N18	4	4
N19	11	11
N20	11	11
N22	5	5
N23	13	13
N24	5	5
N25	6	6
N26	14	14
N27	4	4
N28	10	10
N29	5	5
N30	5	5
N31	2	2
N32	12	12
N33	9	9
N34	5	5
N36	6	6
N37	8	8
N38	4	4
N40	16	16
N41	7	7
N42	16	16
N43	7	7
N44	5	5
N48	11	11
N49	6	6
N50	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E17	26	29	2	4	4
E18	33	39	3	8	8
E19	33	46	6	10	10
E20	27	30	3	6	6
E21	3	9	5	6	6
E22	46	47	4	7	7
E23	41	49	2	4	4
E24	32	38	5	9	9
E25	31	37	2	6	6
E26	15	23	1	6	6
E27	22	31	6	9	9
E28	28	32	1	4	4
E29	43	45	1	4	4
E30	6	7	5	7	7
E31	27	36	8	12	12
E32	6	13	3	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	42	44	1
NrE2	41	48	1
NrE3	40	41	3
NrE4	5	6	9
NrE5	28	38	6
NrE6	1	6	2
NrE7	20	21	4
NrE8	40	47	2
NrE9	25	28	3
NrE10	23	31	3
NrE11	1	2	10
NrE12	17	25	7
NrE13	2	3	6
NrE14	9	15	2
NrE15	8	14	3
NrE16	33	34	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A54	13	14	2	6	6
A55	35	27	6	5	5
A56	7	13	4	6	6
A57	37	32	3	4	4
A58	18	5	9	12	12
A59	16	24	3	3	3
A60	45	50	3	3	3
A61	50	45	3	4	4
A62	33	29	6	4	4
A63	11	12	3	2	2
A64	27	35	6	4	4
A65	19	20	3	9	9
A66	8	7	2	3	3
A67	18	29	5	5	5
A68	39	29	5	7	7
A69	21	13	3	3	3
A70	13	21	3	3	3
A71	16	17	7	4	4
A72	24	23	6	8	8
A73	12	11	3	3	3
A74	15	16	2	7	7
A75	34	35	2	5	5
A76	38	37	7	5	5
A77	43	42	4	5	5
A78	49	48	7	5	5
A79	21	27	4	3	3
A80	24	16	3	4	4
A81	24	25	2	7	7
A82	1	5	7	4	4
A83	37	43	2	3	3
A84	30	26	1	2	2
A85	30	20	9	6	6
A86	22	23	2	3	3
A87	17	16	7	4	4
A88	45	38	7	5	5
A89	50	49	10	6	6
A90	38	43	3	8	8
A91	18	19	1	4	4
A92	5	11	3	4	4
A93	7	2	1	4	4
A94	29	33	6	4	4
A95	14	22	5	4	4
A96	31	27	7	12	12
A97	35	36	3	3	3
A98	44	50	5	3	3
A99	13	12	1	2	2
A100	22	21	5	10	10
A101	20	30	9	6	6
A102	14	15	1	2	2
A103	10	17	7	5	5
A104	11	5	3	5	5
A105	10	4	3	3	3
A106	50	44	5	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	37	36	2
NrA2	43	37	2
NrA3	30	34	1
NrA4	36	42	2
NrA5	12	13	1
NrA6	42	36	2
NrA7	43	50	6
NrA8	32	37	3
NrA9	49	50	10
NrA10	16	9	5
NrA11	48	47	3
NrA12	18	26	2
NrA13	6	12	2
NrA14	29	18	5
NrA15	9	8	3
NrA16	37	38	7
NrA17	9	10	8
NrA18	32	31	3
NrA19	42	41	4
NrA20	4	10	3
NrA21	12	6	2
NrA22	42	43	4
NrA23	19	11	1
NrA24	26	34	5
NrA25	15	14	1
NrA26	12	20	2
NrA27	20	12	2
NrA28	17	10	7
NrA29	50	43	6
NrA30	36	35	3
NrA31	31	32	3
NrA32	26	30	1
NrA33	32	24	5
NrA34	22	14	5
NrA35	33	40	3
NrA36	26	18	2
NrA37	34	26	5
NrA38	3	4	6
NrA39	27	21	4
NrA40	40	34	1
NrA41	40	33	3
NrA42	26	19	1
NrA43	2	7	1
NrA44	23	22	2
NrA45	19	26	1
NrA46	5	1	7
NrA47	7	8	2
NrA48	10	9	8
NrA49	44	49	4
NrA50	24	32	5
NrA51	41	35	3
NrA52	48	49	7
NrA53	38	45	7
