Name:		mgval_0.50_10B
Optimal value:	-1
#Vehicles:	4
Capacity:	190
Depot Node:	1
#Nodes:		50
#Edges:		33
#Arcs:		101
#Required N:	44
#Required E:	16
#Required A:	50

ReN.	DEMAND	S. COST
N3	5	5
N4	12	12
N5	4	4
N6	20	20
N7	10	10
N8	12	12
N9	16	16
N10	5	5
N11	2	2
N12	6	6
N13	4	4
N14	7	7
N15	6	6
N16	8	8
N17	8	8
N18	10	10
N19	6	6
N20	7	7
N21	6	6
N22	11	11
N23	10	10
N24	8	8
N25	6	6
N26	14	14
N27	28	28
N28	2	2
N29	3	3
N30	3	3
N31	5	5
N32	16	16
N34	10	10
N35	4	4
N36	3	3
N37	9	9
N38	8	8
N39	4	4
N40	2	2
N42	3	3
N43	11	11
N44	9	9
N45	3	3
N46	7	7
N47	8	8
N49	22	22

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E18	33	40	3	7	7
E19	43	45	1	4	4
E20	38	45	7	9	9
E21	35	36	3	6	6
E22	33	39	3	8	8
E23	7	8	2	6	6
E24	6	7	5	7	7
E25	41	48	1	3	3
E26	1	2	10	13	13
E27	41	49	2	4	4
E28	33	46	6	10	10
E29	16	24	3	7	7
E30	12	20	2	7	7
E31	44	49	4	5	5
E32	34	35	2	5	5
E33	41	42	4	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	27	36	8
NrE2	8	14	3
NrE3	25	28	3
NrE4	38	43	3
NrE5	16	17	7
NrE6	17	25	7
NrE7	43	50	6
NrE8	8	9	3
NrE9	23	31	3
NrE10	1	6	2
NrE11	47	48	3
NrE12	32	37	3
NrE13	32	38	5
NrE14	9	16	5
NrE15	35	41	3
NrE16	46	47	4
NrE17	44	50	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A52	32	24	5	6	6
A53	26	18	2	5	5
A54	13	12	1	2	2
A55	6	13	3	4	4
A56	18	29	5	10	10
A57	11	19	1	8	8
A58	1	5	7	8	8
A59	24	32	5	5	5
A60	20	30	9	12	12
A61	13	14	2	3	3
A62	22	31	6	4	4
A63	41	40	3	2	2
A64	11	5	3	5	5
A65	33	29	6	8	8
A66	15	9	2	4	4
A67	21	22	5	5	5
A68	20	19	3	5	5
A69	9	15	2	4	4
A70	28	38	6	10	10
A71	10	4	3	3	3
A72	2	3	6	5	5
A73	42	43	4	4	4
A74	18	19	1	2	2
A75	2	7	1	3	3
A76	38	37	7	9	9
A77	33	34	4	3	3
A78	32	31	3	5	5
A79	26	29	2	2	2
A80	14	15	1	2	2
A81	24	25	2	7	7
A82	27	35	6	4	4
A83	15	14	1	3	3
A84	32	28	1	2	2
A85	34	33	4	3	3
A86	3	9	5	3	3
A87	43	37	2	4	4
A88	31	27	7	6	6
A89	29	26	2	2	2
A90	16	15	2	4	4
A91	17	10	7	11	11
A92	40	47	2	1	1
A93	15	16	2	3	3
A94	5	18	9	6	6
A95	35	27	6	5	5
A96	12	11	3	3	3
A97	36	37	2	4	4
A98	34	30	1	5	5
A99	50	45	3	4	4
A100	42	44	1	1	1
A101	22	21	5	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	34	40	1
NrA2	45	50	3
NrA3	21	13	3
NrA4	5	11	3
NrA5	14	22	5
NrA6	27	30	3
NrA7	27	31	7
NrA8	18	5	9
NrA9	36	42	2
NrA10	20	21	4
NrA11	19	20	3
NrA12	26	19	1
NrA13	44	42	1
NrA14	4	3	6
NrA15	28	32	1
NrA16	49	50	10
NrA17	37	31	2
NrA18	31	22	6
NrA19	37	43	2
NrA20	26	34	5
NrA21	6	12	2
NrA22	24	23	6
NrA23	14	13	2
NrA24	26	30	1
NrA25	22	23	2
NrA26	12	13	1
NrA27	4	10	3
NrA28	42	36	2
NrA29	18	26	2
NrA30	47	40	2
NrA31	43	42	4
NrA32	29	39	5
NrA33	34	26	5
NrA34	10	9	8
NrA35	11	12	3
NrA36	13	6	3
NrA37	12	6	2
NrA38	7	13	4
NrA39	40	41	3
NrA40	9	10	8
NrA41	39	29	5
NrA42	7	2	1
NrA43	27	21	4
NrA44	19	18	1
NrA45	6	5	9
NrA46	3	2	6
NrA47	15	23	1
NrA48	9	3	5
NrA49	49	48	7
NrA50	30	27	3
NrA51	22	14	5
