Name:		mgval_0.50_10C
Optimal value:	-1
#Vehicles:	5
Capacity:	150
Depot Node:	1
#Nodes:		50
#Edges:		36
#Arcs:		100
#Required N:	40
#Required E:	18
#Required A:	50

ReN.	DEMAND	S. COST
N2	20	20
N3	6	6
N5	14	14
N6	10	10
N7	4	4
N8	3	3
N9	16	16
N10	11	11
N11	5	5
N13	3	3
N14	5	5
N15	8	8
N17	8	8
N18	15	15
N19	7	7
N20	9	9
N21	11	11
N22	5	5
N24	18	18
N25	10	10
N26	17	17
N27	6	6
N28	5	5
N29	20	20
N32	7	7
N33	24	24
N34	5	5
N35	6	6
N36	4	4
N37	7	7
N38	4	4
N40	4	4
N41	4	4
N42	1	1
N43	20	20
N44	4	4
N47	3	3
N48	13	13
N49	4	4
N50	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E19	41	48	1	3	3
E20	36	42	2	6	6
E21	22	23	2	6	6
E22	14	22	5	9	9
E23	27	31	7	12	12
E24	27	30	3	6	6
E25	11	19	1	8	8
E26	20	21	4	7	7
E27	38	45	7	9	9
E28	28	32	1	4	4
E29	20	30	9	12	12
E30	16	17	7	8	8
E31	15	23	1	6	6
E32	40	41	3	4	4
E33	23	31	3	10	10
E34	6	12	2	7	7
E35	43	50	6	6	6
E36	34	35	2	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	24	32	5
NrE2	2	3	6
NrE3	9	10	8
NrE4	11	12	3
NrE5	43	45	1
NrE6	35	36	3
NrE7	33	46	6
NrE8	32	37	3
NrE9	29	33	6
NrE10	26	30	1
NrE11	26	29	2
NrE12	33	39	3
NrE13	26	34	5
NrE14	25	28	3
NrE15	29	39	5
NrE16	1	6	2
NrE17	10	17	7
NrE18	3	9	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A51	13	12	1	2	2
A52	10	4	3	3	3
A53	18	29	5	5	5
A54	38	32	5	9	9
A55	23	24	6	4	4
A56	34	30	1	3	3
A57	50	45	3	4	4
A58	7	8	2	3	3
A59	27	35	6	4	4
A60	43	38	3	4	4
A61	49	44	4	3	3
A62	42	41	4	3	3
A63	1	2	10	6	6
A64	38	37	7	5	5
A65	8	9	3	2	2
A66	30	34	1	2	2
A67	31	32	3	5	5
A68	16	9	5	5	5
A69	31	37	2	3	3
A70	11	5	3	5	5
A71	7	13	4	3	3
A72	4	10	3	3	3
A73	16	15	2	4	4
A74	5	6	9	10	10
A75	12	20	2	3	3
A76	31	22	6	9	9
A77	7	2	1	4	4
A78	46	47	4	7	7
A79	36	27	8	6	6
A80	13	6	3	8	8
A81	12	13	1	2	2
A82	41	42	4	3	3
A83	21	27	4	7	7
A84	26	19	1	3	3
A85	3	4	6	9	9
A86	49	50	10	12	12
A87	40	47	2	1	1
A88	15	14	1	3	3
A89	38	28	6	5	5
A90	40	34	1	3	3
A91	16	24	3	3	3
A92	47	40	2	2	2
A93	35	27	6	5	5
A94	13	14	2	3	3
A95	24	23	6	4	4
A96	8	14	3	7	7
A97	18	19	1	4	4
A98	15	16	2	3	3
A99	5	1	7	4	4
A100	45	50	3	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	14	13	2
NrA2	50	44	5
NrA3	47	48	3
NrA4	9	8	3
NrA5	21	13	3
NrA6	43	37	2
NrA7	5	18	9
NrA8	48	49	7
NrA9	34	33	4
NrA10	41	35	3
NrA11	6	7	5
NrA12	27	36	8
NrA13	25	24	2
NrA14	1	5	7
NrA15	17	25	7
NrA16	2	1	10
NrA17	36	37	2
NrA18	34	40	1
NrA19	19	20	3
NrA20	9	16	5
NrA21	5	11	3
NrA22	43	42	4
NrA23	24	16	3
NrA24	20	19	3
NrA25	44	49	4
NrA26	14	15	1
NrA27	48	47	3
NrA28	38	43	3
NrA29	29	18	5
NrA30	2	7	1
NrA31	13	7	4
NrA32	19	26	1
NrA33	44	42	1
NrA34	24	25	2
NrA35	40	33	3
NrA36	8	7	2
NrA37	49	41	2
NrA38	37	38	7
NrA39	20	12	2
NrA40	28	38	6
NrA41	22	21	5
NrA42	33	40	3
NrA43	7	6	5
NrA44	37	31	2
NrA45	21	22	5
NrA46	15	9	2
NrA47	42	44	1
NrA48	33	34	4
NrA49	18	26	2
NrA50	18	5	9
