Name:		mgval_0.50_10D
Optimal value:	-1
#Vehicles:	10
Capacity:	75
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		87
#Required N:	46
#Required E:	21
#Required A:	43

ReN.	DEMAND	S. COST
N2	20	20
N3	9	9
N4	6	6
N5	24	24
N6	7	7
N8	7	7
N9	9	9
N11	2	2
N12	10	10
N13	8	8
N14	9	9
N15	6	6
N16	8	8
N17	8	8
N18	8	8
N19	9	9
N20	19	19
N21	5	5
N22	4	4
N23	10	10
N24	11	11
N25	6	6
N26	19	19
N27	30	30
N28	5	5
N30	2	2
N31	2	2
N32	10	10
N33	15	15
N34	3	3
N35	5	5
N36	3	3
N37	9	9
N38	4	4
N39	7	7
N40	1	1
N41	2	2
N42	3	3
N43	18	18
N44	2	2
N45	5	5
N46	3	3
N47	6	6
N48	5	5
N49	14	14
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E22	13	14	2	6	6
E23	9	15	2	8	8
E24	27	35	6	9	9
E25	14	15	1	5	5
E26	40	41	3	4	4
E27	33	46	6	10	10
E28	24	25	2	7	7
E29	38	43	3	8	8
E30	3	9	5	6	6
E31	44	50	5	7	7
E32	5	6	9	10	10
E33	33	34	4	6	6
E34	21	27	4	7	7
E35	29	33	6	8	8
E36	34	40	1	5	5
E37	15	16	2	7	7
E38	11	19	1	8	8
E39	44	49	4	5	5
E40	47	48	3	6	6
E41	35	36	3	6	6
E42	2	3	6	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	3	4	6
NrE2	17	25	7
NrE3	15	23	1
NrE4	9	10	8
NrE5	16	17	7
NrE6	2	7	1
NrE7	18	19	1
NrE8	19	20	3
NrE9	25	28	3
NrE10	27	31	7
NrE11	32	37	3
NrE12	1	5	7
NrE13	14	22	5
NrE14	12	20	2
NrE15	26	34	5
NrE16	27	36	8
NrE17	20	21	4
NrE18	8	14	3
NrE19	27	30	3
NrE20	13	21	3
NrE21	33	40	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A45	30	34	1	2	2
A46	9	16	5	4	4
A47	37	36	2	4	4
A48	24	23	6	4	4
A49	48	41	1	2	2
A50	6	7	5	3	3
A51	8	7	2	3	3
A52	35	41	3	4	4
A53	50	43	6	3	3
A54	42	41	4	6	6
A55	26	30	1	1	1
A56	6	1	2	4	4
A57	32	38	5	9	9
A58	31	22	6	5	5
A59	31	37	2	6	6
A60	45	43	1	2	2
A61	37	43	2	3	3
A62	9	8	3	3	3
A63	16	9	5	5	5
A64	16	24	3	7	7
A65	7	8	2	3	3
A66	7	6	5	4	4
A67	18	29	5	10	10
A68	23	31	3	5	5
A69	19	26	1	6	6
A70	8	9	3	2	2
A71	13	7	4	3	3
A72	10	17	7	5	5
A73	11	5	3	5	5
A74	49	48	7	5	5
A75	42	44	1	1	1
A76	41	48	1	1	1
A77	1	6	2	3	3
A78	28	32	1	4	4
A79	7	13	4	3	3
A80	6	13	3	4	4
A81	45	50	3	3	3
A82	13	6	3	4	4
A83	22	21	5	5	5
A84	12	13	1	2	2
A85	38	28	6	5	5
A86	17	10	7	6	6
A87	31	23	3	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	11	12	3
NrA2	33	39	3
NrA3	22	31	6
NrA4	35	34	2
NrA5	43	50	6
NrA6	30	26	1
NrA7	47	40	2
NrA8	41	49	2
NrA9	42	36	2
NrA10	40	47	2
NrA11	39	29	5
NrA12	46	47	4
NrA13	23	22	2
NrA14	18	26	2
NrA15	24	32	5
NrA16	28	38	6
NrA17	4	10	3
NrA18	23	24	6
NrA19	13	12	1
NrA20	43	42	4
NrA21	43	37	2
NrA22	43	45	1
NrA23	21	22	5
NrA24	47	46	4
NrA25	49	50	10
NrA26	26	18	2
NrA27	5	18	9
NrA28	31	32	3
NrA29	5	11	3
NrA30	50	45	3
NrA31	32	31	3
NrA32	12	11	3
NrA33	36	42	2
NrA34	37	38	7
NrA35	48	49	7
NrA36	26	29	2
NrA37	45	38	7
NrA38	38	45	7
NrA39	6	12	2
NrA40	49	41	2
NrA41	20	30	9
NrA42	44	42	1
NrA43	34	30	1
NrA44	2	1	10
