Name:		mgval_0.50_1A
Optimal value:	145
#Vehicles:	2
Capacity:	200
Depot Node:	1
#Nodes:		24
#Edges:		20
#Arcs:		35
#Required N:	16
#Required E:	10
#Required A:	17

ReN.	DEMAND	S. COST
N2	1	1
N3	2	2
N4	1	1
N5	23	23
N7	2	2
N9	2	2
N11	17	17
N12	13	13
N13	16	16
N14	13	13
N15	26	26
N16	4	4
N17	8	8
N19	6	6
N20	6	6
N23	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	3	4	5	14	14
E12	4	5	4	3	3
E13	7	8	4	12	12
E14	6	7	3	12	12
E15	20	21	3	12	12
E16	6	11	7	18	18
E17	21	24	4	13	13
E18	19	20	5	14	14
E19	1	9	3	9	9
E20	1	19	4	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	1	11	7
NrE2	5	6	10
NrE3	14	18	3
NrE4	15	21	6
NrE5	13	17	2
NrE6	23	24	2
NrE7	13	14	5
NrE8	17	18	2
NrE9	15	16	2
NrE10	16	17	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A19	20	1	5	7	7
A20	19	9	5	7	7
A21	5	11	4	4	4
A22	12	16	3	2	2
A23	8	14	4	4	4
A24	10	2	2	5	5
A25	6	12	4	6	6
A26	22	23	2	4	4
A27	3	10	3	7	7
A28	2	5	3	6	6
A29	16	12	3	3	3
A30	21	23	5	6	6
A31	5	2	3	6	6
A32	22	19	5	7	7
A33	23	21	5	6	6
A34	9	19	5	7	7
A35	11	12	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	19	22	5
NrA2	9	3	2
NrA3	17	12	4
NrA4	1	20	5
NrA5	2	4	1
NrA6	12	17	4
NrA7	7	13	4
NrA8	12	11	2
NrA9	5	1	3
NrA10	3	9	2
NrA11	12	6	4
NrA12	23	22	2
NrA13	11	5	4
NrA14	1	5	3
NrA15	13	7	4
NrA16	4	2	1
NrA17	14	8	4
NrA18	15	20	3
