Name:		mgval_0.50_1C
Optimal value:	-1
#Vehicles:	8
Capacity:	45
Depot Node:	1
#Nodes:		24
#Edges:		17
#Arcs:		36
#Required N:	14
#Required E:	8
#Required A:	18

ReN.	DEMAND	S. COST
N2	14	14
N3	18	18
N4	1	1
N5	24	24
N6	6	6
N7	23	23
N9	9	9
N11	6	6
N14	5	5
N17	10	10
N18	2	2
N19	34	34
N21	19	19
N22	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	6	12	4	13	13
E11	1	20	5	13	13
E12	3	10	3	7	7
E13	12	16	3	5	5
E14	13	14	5	10	10
E15	14	18	3	8	8
E16	23	24	2	4	4
E17	6	11	7	18	18

EDGE	FROM N.	TO N.	T. COST
NrE1	21	23	5
NrE2	3	4	5
NrE3	22	23	2
NrE4	7	13	4
NrE5	1	5	3
NrE6	3	9	2
NrE7	2	5	3
NrE8	5	11	4
NrE9	7	8	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A19	16	17	1	2	2
A20	13	17	2	1	1
A21	24	21	4	7	7
A22	12	11	2	5	5
A23	6	5	10	10	10
A24	20	21	3	12	12
A25	8	14	4	4	4
A26	1	11	7	6	6
A27	20	15	3	4	4
A28	12	17	4	3	3
A29	1	19	4	13	13
A30	16	15	2	4	4
A31	9	19	5	7	7
A32	2	4	1	2	2
A33	21	24	4	6	6
A34	10	2	2	3	3
A35	15	20	3	4	4
A36	15	21	6	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	4	5	4
NrA2	19	9	5
NrA3	18	17	2
NrA4	17	18	2
NrA5	5	6	10
NrA6	19	22	5
NrA7	17	13	2
NrA8	7	6	3
NrA9	14	8	4
NrA10	21	15	6
NrA11	2	10	2
NrA12	5	4	4
NrA13	17	16	1
NrA14	11	1	7
NrA15	19	20	5
NrA16	17	12	4
NrA17	6	7	3
NrA18	1	9	3
