Name:		mgval_0.50_2C
Optimal value:	-1
#Vehicles:	8
Capacity:	40
Depot Node:	1
#Nodes:		24
#Edges:		14
#Arcs:		35
#Required N:	16
#Required E:	7
#Required A:	17

ReN.	DEMAND	S. COST
N2	7	7
N3	9	9
N6	9	9
N8	10	10
N10	13	13
N12	18	18
N14	4	4
N15	6	6
N16	18	18
N17	10	10
N18	3	3
N19	22	22
N20	18	18
N22	6	6
N23	7	7
N24	14	14

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	19	22	5	8	8
E9	3	4	3	6	6
E10	11	15	3	6	6
E11	4	5	8	9	9
E12	1	2	4	6	6
E13	9	10	8	12	12
E14	5	10	8	15	15

EDGE	FROM N.	TO N.	T. COST
NrE1	2	4	2
NrE2	17	18	7
NrE3	6	7	5
NrE4	20	21	5
NrE5	12	13	5
NrE6	8	14	3
NrE7	16	17	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A19	1	3	5	4	4
A20	12	11	4	7	7
A21	5	11	5	4	4
A22	9	3	4	6	6
A23	11	10	11	7	7
A24	13	17	1	3	3
A25	23	20	4	4	4
A26	14	18	2	2	2
A27	21	24	8	4	4
A28	23	24	12	8	8
A29	11	5	5	4	4
A30	16	15	6	4	4
A31	21	15	3	2	2
A32	9	19	9	7	7
A33	17	13	1	3	3
A34	20	23	4	3	3
A35	7	8	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	23	22	9
NrA2	19	9	9
NrA3	10	11	11
NrA4	15	16	6
NrA5	16	12	8
NrA6	24	23	12
NrA7	18	14	2
NrA8	14	13	1
NrA9	15	21	3
NrA10	24	21	8
NrA11	19	20	9
NrA12	8	7	2
NrA13	10	20	4
NrA14	3	1	5
NrA15	20	10	4
NrA16	22	23	9
NrA17	12	6	9
NrA18	3	9	4
