Name:		mgval_0.50_3A
Optimal value:	75
#Vehicles:	2
Capacity:	80
Depot Node:	1
#Nodes:		24
#Edges:		15
#Arcs:		33
#Required N:	17
#Required E:	7
#Required A:	16

ReN.	DEMAND	S. COST
N2	4	4
N3	2	2
N5	7	7
N6	3	3
N7	3	3
N8	3	3
N9	1	1
N10	10	10
N13	5	5
N14	4	4
N15	6	6
N16	4	4
N17	3	3
N18	6	6
N19	2	2
N21	2	2
N24	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	19	22	3	7	7
E10	12	13	1	2	2
E11	21	24	1	3	3
E12	4	5	2	6	6
E13	12	16	1	1	1
E14	22	23	3	4	4
E15	5	11	4	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	13	17	3
NrE2	10	11	3
NrE3	15	21	1
NrE4	19	20	1
NrE5	5	6	3
NrE6	3	9	1
NrE7	6	12	1
NrE8	17	18	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A18	4	2	1	2	2
A19	2	4	1	1	1
A20	8	7	1	6	6
A21	11	15	1	2	2
A22	3	1	1	2	2
A23	4	3	2	4	4
A24	9	19	1	1	1
A25	15	16	1	1	1
A26	17	16	4	2	2
A27	20	10	2	2	2
A28	19	9	1	2	2
A29	23	20	1	4	4
A30	6	7	3	2	2
A31	12	11	1	3	3
A32	14	8	3	4	4
A33	20	21	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	14	13	2
NrA2	1	2	2
NrA3	10	5	2
NrA4	16	17	4
NrA5	1	3	1
NrA6	10	20	2
NrA7	10	9	2
NrA8	5	10	2
NrA9	21	20	2
NrA10	9	10	2
NrA11	18	14	3
NrA12	8	14	3
NrA13	2	1	2
NrA14	16	15	1
NrA15	15	11	1
NrA16	24	23	1
NrA17	7	6	3
