Name:		mgval_0.50_3B
Optimal value:	107
#Vehicles:	3
Capacity:	50
Depot Node:	1
#Nodes:		24
#Edges:		16
#Arcs:		29
#Required N:	15
#Required E:	8
#Required A:	14

ReN.	DEMAND	S. COST
N2	3	3
N3	2	2
N5	10	10
N7	3	3
N9	2	2
N10	9	9
N11	5	5
N12	2	2
N13	1	1
N14	3	3
N15	7	7
N19	2	2
N20	6	6
N21	3	3
N24	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E9	7	8	1	6	6
E10	5	10	2	4	4
E11	16	17	4	4	4
E12	19	20	1	2	2
E13	23	24	1	5	5
E14	1	2	2	4	4
E15	19	22	3	7	7
E16	5	6	3	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	20	23	1
NrE2	9	10	2
NrE3	5	11	4
NrE4	2	4	1
NrE5	12	16	1
NrE6	15	21	1
NrE7	10	20	2
NrE8	10	11	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A16	18	14	3	3	3
A17	3	1	1	2	2
A18	18	17	1	3	3
A19	3	4	2	2	2
A20	6	12	1	3	3
A21	6	7	3	2	2
A22	17	13	3	5	5
A23	22	23	3	4	4
A24	13	14	2	4	4
A25	9	19	1	1	1
A26	8	14	3	3	3
A27	15	11	1	2	2
A28	14	8	3	4	4
A29	4	3	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	21	20	2
NrA2	11	12	1
NrA3	15	16	1
NrA4	1	3	1
NrA5	20	21	2
NrA6	13	12	1
NrA7	21	24	1
NrA8	19	9	1
NrA9	14	18	3
NrA10	5	4	2
NrA11	12	13	1
NrA12	3	9	1
NrA13	11	15	1
NrA14	7	6	3
NrA15	24	21	1
