Name:		mgval_0.50_3C
Optimal value:	-1
#Vehicles:	7
Capacity:	20
Depot Node:	1
#Nodes:		24
#Edges:		18
#Arcs:		25
#Required N:	15
#Required E:	9
#Required A:	12

ReN.	DEMAND	S. COST
N2	1	1
N3	3	3
N4	6	6
N5	9	9
N7	3	3
N9	3	3
N10	5	5
N11	4	4
N12	1	1
N13	6	6
N15	5	5
N16	6	6
N17	1	1
N21	7	7
N23	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	22	23	3	4	4
E11	9	19	1	3	3
E12	5	10	2	4	4
E13	3	4	2	4	4
E14	14	18	3	6	6
E15	6	7	3	5	5
E16	1	2	2	4	4
E17	8	14	3	7	7
E18	10	20	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	21	24	1
NrE2	11	15	1
NrE3	16	17	4
NrE4	9	10	2
NrE5	10	11	3
NrE6	5	11	4
NrE7	1	3	1
NrE8	15	21	1
NrE9	13	17	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	6	12	1	1	1
A15	4	2	1	2	2
A16	20	23	1	2	2
A17	13	14	2	4	4
A18	19	20	1	2	2
A19	12	11	1	2	2
A20	8	7	1	3	3
A21	18	17	1	2	2
A22	12	6	1	2	2
A23	11	12	1	1	1
A24	16	12	1	1	1
A25	22	19	3	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	5	6	3
NrA2	23	20	1
NrA3	7	8	1
NrA4	17	18	1
NrA5	16	15	1
NrA6	12	13	1
NrA7	9	3	1
NrA8	23	24	1
NrA9	15	16	1
NrA10	13	12	1
NrA11	21	20	2
NrA12	2	4	1
NrA13	4	5	2
