Name:		mgval_0.50_5B
Optimal value:	-1
#Vehicles:	4
Capacity:	165
Depot Node:	1
#Nodes:		34
#Edges:		35
#Arcs:		56
#Required N:	28
#Required E:	17
#Required A:	28

ReN.	DEMAND	S. COST
N2	17	17
N3	7	7
N4	6	6
N5	6	6
N6	11	11
N8	2	2
N9	19	19
N10	13	13
N11	9	9
N12	16	16
N13	8	8
N15	6	6
N16	4	4
N17	9	9
N18	21	21
N19	12	12
N20	12	12
N21	17	17
N22	8	8
N23	15	15
N24	26	26
N25	23	23
N26	14	14
N27	11	11
N29	5	5
N30	8	8
N31	6	6
N32	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E19	4	5	9	12	12
E20	28	33	3	8	8
E21	28	34	2	9	9
E22	15	16	5	9	9
E23	1	7	8	9	9
E24	6	18	9	18	18
E25	4	11	10	15	15
E26	17	24	9	13	13
E27	33	34	1	4	4
E28	7	13	5	6	6
E29	22	23	1	2	2
E30	23	28	5	5	5
E31	29	30	4	7	7
E32	3	10	2	8	8
E33	15	21	4	12	12
E34	22	28	4	8	8
E35	19	25	5	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	24	34	10
NrE2	32	33	5
NrE3	18	19	7
NrE4	4	10	4
NrE5	3	4	3
NrE6	13	19	6
NrE7	5	11	4
NrE8	6	12	7
NrE9	19	20	6
NrE10	2	3	5
NrE11	23	24	5
NrE12	20	26	3
NrE13	30	31	6
NrE14	9	15	5
NrE15	25	30	5
NrE16	10	16	2
NrE17	1	2	10
NrE18	12	13	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A29	16	23	9	8	8
A30	10	9	3	4	4
A31	32	31	3	4	4
A32	31	32	3	3	3
A33	20	21	2	1	1
A34	27	32	5	6	6
A35	14	8	2	3	3
A36	8	9	7	4	4
A37	18	12	5	6	6
A38	19	12	4	5	5
A39	11	17	7	4	4
A40	15	22	9	7	7
A41	22	21	5	4	4
A42	29	18	9	8	8
A43	1	6	2	2	2
A44	28	27	10	7	7
A45	2	8	8	6	6
A46	6	1	2	3	3
A47	2	13	9	8	8
A48	14	20	3	5	5
A49	6	7	9	6	6
A50	13	14	4	4	4
A51	7	6	9	6	6
A52	8	2	8	7	7
A53	13	2	9	8	8
A54	11	10	8	6	6
A55	3	9	6	3	3
A56	14	13	4	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	26	31	9
NrA2	21	22	5
NrA3	22	15	9
NrA4	25	29	7
NrA5	31	26	9
NrA6	27	26	4
NrA7	11	24	15
NrA8	17	16	5
NrA9	15	14	1
NrA10	24	11	15
NrA11	18	29	9
NrA12	21	20	2
NrA13	17	11	7
NrA14	8	14	2
NrA15	10	11	8
NrA16	9	8	7
NrA17	27	28	10
NrA18	9	3	6
NrA19	16	17	5
NrA20	20	14	3
NrA21	9	10	3
NrA22	12	19	4
NrA23	23	16	9
NrA24	21	27	7
NrA25	12	18	5
NrA26	29	25	7
NrA27	26	25	9
NrA28	25	26	9
