Name:		mgval_0.50_5D
Optimal value:	-1
#Vehicles:	9
Capacity:	75
Depot Node:	1
#Nodes:		34
#Edges:		29
#Arcs:		63
#Required N:	27
#Required E:	14
#Required A:	31

ReN.	DEMAND	S. COST
N2	40	40
N3	9	9
N4	21	21
N5	12	12
N6	37	37
N7	14	14
N10	13	13
N11	4	4
N12	5	5
N13	16	16
N14	5	5
N15	4	4
N16	9	9
N17	11	11
N18	13	13
N19	20	20
N20	3	3
N21	11	11
N23	12	12
N24	15	15
N25	9	9
N26	9	9
N27	6	6
N28	8	8
N29	12	12
N30	6	6
N32	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E16	26	31	9	12	12
E17	21	22	5	8	8
E18	14	15	1	6	6
E19	25	26	9	16	16
E20	22	23	1	2	2
E21	30	31	6	8	8
E22	8	14	2	5	5
E23	15	22	9	15	15
E24	12	13	2	7	7
E25	33	34	1	4	4
E26	9	10	3	7	7
E27	16	17	5	8	8
E28	3	9	6	7	7
E29	12	19	4	9	9

EDGE	FROM N.	TO N.	T. COST
NrE1	21	27	7
NrE2	4	10	4
NrE3	6	12	7
NrE4	13	19	6
NrE5	1	2	10
NrE6	19	25	5
NrE7	28	33	3
NrE8	29	30	4
NrE9	2	13	9
NrE10	26	27	4
NrE11	4	11	10
NrE12	13	14	4
NrE13	10	16	2
NrE14	23	24	5
NrE15	23	28	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A33	34	24	10	8	8
A34	10	3	2	4	4
A35	4	3	3	4	4
A36	8	9	7	8	8
A37	22	28	4	4	4
A38	32	27	5	3	3
A39	27	32	5	3	3
A40	21	15	4	6	6
A41	31	32	3	3	3
A42	1	7	8	4	4
A43	19	20	6	6	6
A44	20	19	6	6	6
A45	11	5	4	3	3
A46	15	21	4	6	6
A47	9	15	5	4	4
A48	24	11	15	10	10
A49	16	23	9	16	16
A50	28	22	4	4	4
A51	11	10	8	6	6
A52	34	28	2	5	5
A53	28	34	2	4	4
A54	20	14	3	5	5
A55	21	20	2	3	3
A56	5	11	4	3	3
A57	3	10	2	4	4
A58	13	7	5	3	3
A59	11	24	15	9	9
A60	33	32	5	5	5
A61	29	18	9	8	8
A62	28	27	10	7	7
A63	6	1	2	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	10	11	8
NrA2	24	34	10
NrA3	25	30	5
NrA4	3	2	5
NrA5	25	29	7
NrA6	7	1	8
NrA7	30	25	5
NrA8	3	4	3
NrA9	11	17	7
NrA10	19	18	7
NrA11	12	18	5
NrA12	15	9	5
NrA13	6	18	9
NrA14	14	20	3
NrA15	26	20	3
NrA16	24	17	9
NrA17	17	11	7
NrA18	7	6	9
NrA19	16	15	5
NrA20	7	13	5
NrA21	29	25	7
NrA22	32	31	3
NrA23	6	7	9
NrA24	18	12	5
NrA25	27	28	10
NrA26	32	33	5
NrA27	1	6	2
NrA28	18	29	9
NrA29	20	26	3
NrA30	2	8	8
NrA31	5	4	9
NrA32	17	24	9
