Name:		mgval_0.50_6A
Optimal value:	210
#Vehicles:	3
Capacity:	170
Depot Node:	1
#Nodes:		31
#Edges:		22
#Arcs:		47
#Required N:	19
#Required E:	11
#Required A:	23

ReN.	DEMAND	S. COST
N2	26	26
N3	6	6
N4	9	9
N5	5	5
N6	22	22
N7	20	20
N8	14	14
N9	2	2
N10	25	25
N12	11	11
N14	9	9
N17	10	10
N19	17	17
N23	13	13
N24	5	5
N26	6	6
N29	10	10
N30	5	5
N31	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E12	5	31	1	4	4
E13	1	30	4	12	12
E14	3	9	2	5	5
E15	9	13	6	9	9
E16	8	9	7	12	12
E17	13	19	6	14	14
E18	21	22	4	14	14
E19	19	20	4	12	12
E20	18	21	3	7	7
E21	25	28	5	12	12
E22	23	24	3	10	10

EDGE	FROM N.	TO N.	T. COST
NrE1	23	25	3
NrE2	24	27	2
NrE3	19	21	3
NrE4	29	31	2
NrE5	14	15	5
NrE6	19	22	2
NrE7	23	26	2
NrE8	6	31	3
NrE9	10	16	2
NrE10	1	7	10
NrE11	6	7	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A25	29	27	2	4	4
A26	27	26	1	3	3
A27	29	30	7	5	5
A28	6	11	2	6	6
A29	15	16	3	4	4
A30	11	12	5	4	4
A31	31	28	3	4	4
A32	31	1	3	2	2
A33	28	26	5	7	7
A34	13	12	4	7	7
A35	22	20	5	6	6
A36	16	15	3	4	4
A37	5	6	3	4	4
A38	20	22	5	5	5
A39	28	29	3	4	4
A40	12	8	8	14	14
A41	16	17	2	4	4
A42	18	19	5	9	9
A43	11	6	2	6	6
A44	27	29	2	4	4
A45	17	16	2	5	5
A46	4	3	5	6	6
A47	18	12	5	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	26	28	5
NrA2	1	31	3
NrA3	2	8	6
NrA4	12	18	5
NrA5	9	4	9
NrA6	4	13	3
NrA7	2	1	2
NrA8	5	10	4
NrA9	4	9	9
NrA10	1	2	2
NrA11	8	2	6
NrA12	2	3	1
NrA13	14	10	1
NrA14	3	4	5
NrA15	7	8	3
NrA16	29	28	3
NrA17	6	5	3
NrA18	12	11	5
NrA19	8	7	3
NrA20	10	11	4
NrA21	10	5	4
NrA22	17	11	4
NrA23	30	29	7
NrA24	10	14	1
