Name:		mgval_0.50_6C
Optimal value:	-1
#Vehicles:	10
Capacity:	50
Depot Node:	1
#Nodes:		31
#Edges:		23
#Arcs:		45
#Required N:	22
#Required E:	11
#Required A:	22

ReN.	DEMAND	S. COST
N2	26	26
N3	12	12
N4	1	1
N6	13	13
N7	14	14
N9	9	9
N10	10	10
N13	18	18
N14	5	5
N15	8	8
N16	4	4
N17	15	15
N18	3	3
N19	12	12
N23	16	16
N24	5	5
N26	9	9
N27	8	8
N28	4	4
N29	19	19
N30	12	12
N31	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E13	1	7	10	13	13
E14	10	11	4	10	10
E15	23	25	3	7	7
E16	3	9	2	5	5
E17	1	31	3	4	4
E18	19	21	3	8	8
E19	20	22	5	11	11
E20	8	12	8	14	14
E21	4	13	3	8	8
E22	8	9	7	12	12
E23	21	22	4	14	14

EDGE	FROM N.	TO N.	T. COST
NrE1	15	16	3
NrE2	27	29	2
NrE3	13	19	6
NrE4	3	4	5
NrE5	9	13	6
NrE6	28	31	3
NrE7	26	27	1
NrE8	29	31	2
NrE9	6	31	3
NrE10	2	8	6
NrE11	23	24	3
NrE12	24	27	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A24	11	12	5	4	4
A25	28	26	5	7	7
A26	19	18	5	5	5
A27	18	12	5	6	6
A28	5	6	3	4	4
A29	7	6	3	9	9
A30	18	19	5	4	4
A31	30	29	7	5	5
A32	12	18	5	6	6
A33	3	2	1	7	7
A34	9	4	9	2	2
A35	5	10	4	5	5
A36	11	6	2	6	6
A37	12	11	5	5	5
A38	10	5	4	5	5
A39	25	28	5	12	12
A40	12	13	4	3	3
A41	21	18	3	4	4
A42	15	14	5	4	4
A43	6	11	2	6	6
A44	5	31	1	2	2
A45	19	22	2	9	9

ARC	FROM N.	TO N.	T. COST
NrA1	14	15	5
NrA2	31	5	1
NrA3	29	28	3
NrA4	10	14	1
NrA5	13	12	4
NrA6	16	17	2
NrA7	19	20	4
NrA8	18	21	3
NrA9	2	3	1
NrA10	4	9	9
NrA11	2	1	2
NrA12	30	1	4
NrA13	1	2	2
NrA14	10	16	2
NrA15	26	28	5
NrA16	17	11	4
NrA17	14	10	1
NrA18	17	16	2
NrA19	6	5	3
NrA20	23	26	2
NrA21	1	30	4
NrA22	7	8	3
NrA23	29	30	7
