Name:		mgval_0.50_8C
Optimal value:	-1
#Vehicles:	9
Capacity:	65
Depot Node:	1
#Nodes:		30
#Edges:		28
#Arcs:		55
#Required N:	22
#Required E:	14
#Required A:	27

ReN.	DEMAND	S. COST
N3	12	12
N4	11	11
N5	18	18
N7	22	22
N8	6	6
N9	29	29
N10	17	17
N11	19	19
N12	10	10
N14	28	28
N15	20	20
N17	4	4
N18	6	6
N20	10	10
N21	8	8
N22	3	3
N23	7	7
N24	15	15
N26	22	22
N27	11	11
N29	10	10
N30	14	14

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E15	16	21	7	8	8
E16	1	2	4	9	9
E17	10	15	5	7	7
E18	16	17	9	13	13
E19	4	6	3	8	8
E20	17	22	5	6	6
E21	22	25	2	6	6
E22	1	8	7	10	10
E23	20	27	5	8	8
E24	26	30	3	4	4
E25	17	18	5	10	10
E26	8	9	7	18	18
E27	15	19	7	11	11
E28	21	28	5	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	7	8	8
NrE2	14	15	9
NrE3	27	28	10
NrE4	24	28	2
NrE5	1	5	3
NrE6	18	19	2
NrE7	1	9	10
NrE8	3	10	6
NrE9	20	24	2
NrE10	10	19	10
NrE11	5	8	8
NrE12	24	27	5
NrE13	12	13	3
NrE14	11	20	10

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A29	21	24	5	6	6
A30	16	13	8	5	5
A31	13	8	6	5	5
A32	28	29	7	5	5
A33	21	29	8	5	5
A34	16	11	5	6	6
A35	2	3	3	3	3
A36	29	28	7	5	5
A37	11	12	5	3	3
A38	12	11	5	4	4
A39	22	21	5	4	4
A40	25	30	1	2	2
A41	7	6	3	3	3
A42	13	16	8	5	5
A43	2	9	5	4	4
A44	17	13	7	12	12
A45	8	13	6	5	5
A46	6	11	7	10	10
A47	18	15	3	7	7
A48	3	2	3	3	3
A49	6	7	3	3	3
A50	20	21	7	4	4
A51	23	22	10	12	12
A52	29	21	8	5	5
A53	4	7	1	2	2
A54	25	29	3	5	5
A55	16	12	6	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	7	4	1
NrA2	4	5	5
NrA3	30	23	3
NrA4	23	18	3
NrA5	9	15	3
NrA6	7	12	8
NrA7	11	16	5
NrA8	21	22	5
NrA9	14	8	7
NrA10	15	8	10
NrA11	21	20	7
NrA12	30	25	1
NrA13	29	22	4
NrA14	9	10	3
NrA15	12	16	6
NrA16	10	9	3
NrA17	26	18	9
NrA18	22	29	4
NrA19	15	9	3
NrA20	30	29	6
NrA21	29	30	6
NrA22	8	14	7
NrA23	14	17	4
NrA24	20	16	3
NrA25	9	2	5
NrA26	17	14	4
NrA27	14	13	5
NrA28	26	23	7
