Name:		mgval_0.50_9A
Optimal value:	306
#Vehicles:	3
Capacity:	235
Depot Node:	1
#Nodes:		50
#Edges:		32
#Arcs:		100
#Required N:	39
#Required E:	16
#Required A:	50

ReN.	DEMAND	S. COST
N2	4	4
N3	9	9
N4	6	6
N5	4	4
N6	7	7
N7	15	15
N10	18	18
N11	2	2
N12	11	11
N13	6	6
N14	13	13
N15	7	7
N16	13	13
N18	2	2
N19	16	16
N21	9	9
N22	5	5
N23	2	2
N24	6	6
N25	7	7
N27	6	6
N28	2	2
N29	9	9
N30	4	4
N31	6	6
N32	6	6
N34	10	10
N36	11	11
N37	6	6
N38	9	9
N39	19	19
N40	7	7
N41	6	6
N42	2	2
N43	12	12
N44	9	9
N46	2	2
N47	12	12
N48	11	11

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E17	25	33	1	4	4
E18	6	11	3	6	6
E19	35	43	6	14	14
E20	39	40	4	10	10
E21	23	24	2	5	5
E22	35	36	2	4	4
E23	28	36	5	8	8
E24	11	18	3	9	9
E25	8	9	5	10	10
E26	26	34	4	6	6
E27	28	29	5	8	8
E28	45	50	3	7	7
E29	23	28	2	4	4
E30	17	30	6	14	14
E31	43	44	4	10	10
E32	21	26	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	10	11	2
NrE2	36	44	5
NrE3	7	12	2
NrE4	16	17	3
NrE5	19	32	7
NrE6	24	29	2
NrE7	43	48	7
NrE8	18	19	1
NrE9	44	45	2
NrE10	21	22	2
NrE11	10	17	4
NrE12	29	37	3
NrE13	25	26	2
NrE14	2	5	2
NrE15	34	42	4
NrE16	31	39	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A51	2	3	2	1	1
A52	10	5	2	5	5
A53	22	28	4	8	8
A54	15	23	1	1	1
A55	49	48	4	5	5
A56	45	48	5	6	6
A57	4	7	3	3	3
A58	46	38	3	6	6
A59	1	15	4	4	4
A60	31	32	2	3	3
A61	13	8	6	6	6
A62	20	25	3	2	2
A63	23	29	4	1	1
A64	18	17	1	3	3
A65	14	15	3	2	2
A66	17	24	4	6	6
A67	8	13	6	5	5
A68	33	41	4	5	5
A69	17	31	4	15	15
A70	33	34	2	4	4
A71	45	46	2	2	2
A72	38	30	3	2	2
A73	35	27	2	4	4
A74	1	9	3	3	3
A75	34	35	1	2	2
A76	26	27	3	2	2
A77	24	30	3	5	5
A78	9	13	4	12	12
A79	50	46	2	4	4
A80	16	1	4	6	6
A81	15	24	2	4	4
A82	10	1	4	7	7
A83	43	42	2	5	5
A84	9	14	1	1	1
A85	14	9	1	2	2
A86	1	5	3	12	12
A87	35	34	1	3	3
A88	38	36	1	2	2
A89	49	45	3	8	8
A90	27	28	1	1	1
A91	15	16	4	5	5
A92	20	21	1	2	2
A93	41	42	2	2	2
A94	9	1	3	4	4
A95	16	15	4	5	5
A96	24	17	4	6	6
A97	22	23	5	4	4
A98	50	49	2	8	8
A99	29	30	1	2	2
A100	23	22	5	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	23	15	1
NrA2	11	12	2
NrA3	3	6	4
NrA4	36	38	1
NrA5	7	6	3
NrA6	48	49	4
NrA7	28	27	1
NrA8	47	40	3
NrA9	42	41	2
NrA10	12	19	4
NrA11	29	23	4
NrA12	6	5	2
NrA13	40	47	3
NrA14	5	6	2
NrA15	40	32	2
NrA16	37	38	2
NrA17	4	3	3
NrA18	21	20	1
NrA19	30	38	3
NrA20	32	31	2
NrA21	32	40	2
NrA22	13	21	1
NrA23	27	26	3
NrA24	41	33	4
NrA25	27	35	2
NrA26	48	45	5
NrA27	25	20	3
NrA28	47	39	5
NrA29	7	4	3
NrA30	30	29	1
NrA31	3	2	2
NrA32	22	13	4
NrA33	44	37	3
NrA34	13	22	4
NrA35	39	38	3
NrA36	15	1	4
NrA37	38	37	2
NrA38	39	30	2
NrA39	15	14	3
NrA40	38	46	3
NrA41	39	47	5
NrA42	37	44	3
NrA43	14	22	4
NrA44	1	16	4
NrA45	1	10	4
NrA46	46	45	2
NrA47	14	23	2
NrA48	6	7	3
NrA49	21	13	1
NrA50	12	11	2
