Name:		mgval_0.50_9B
Optimal value:	-1
#Vehicles:	4
Capacity:	175
Depot Node:	1
#Nodes:		50
#Edges:		44
#Arcs:		76
#Required N:	37
#Required E:	22
#Required A:	38

ReN.	DEMAND	S. COST
N3	2	2
N5	17	17
N6	11	11
N7	11	11
N9	8	8
N10	4	4
N11	5	5
N12	8	8
N13	17	17
N14	10	10
N15	17	17
N16	13	13
N17	7	7
N19	16	16
N20	2	2
N21	2	2
N22	6	6
N23	3	3
N24	3	3
N25	3	3
N26	6	6
N28	14	14
N29	20	20
N30	11	11
N32	4	4
N33	2	2
N34	12	12
N35	12	12
N36	1	1
N38	17	17
N39	5	5
N40	10	10
N41	6	6
N42	5	5
N43	10	10
N45	21	21
N49	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E23	1	10	4	13	13
E24	48	49	4	10	10
E25	14	22	4	8	8
E26	2	5	2	4	4
E27	6	11	3	6	6
E28	15	24	2	4	4
E29	10	17	4	8	8
E30	37	44	3	8	8
E31	31	32	2	7	7
E32	26	27	3	5	5
E33	46	50	2	4	4
E34	35	36	2	4	4
E35	39	47	5	14	14
E36	38	39	3	7	7
E37	3	6	4	7	7
E38	3	4	3	6	6
E39	1	9	3	7	7
E40	31	39	4	6	6
E41	25	33	1	4	4
E42	17	24	4	12	12
E43	43	48	7	12	12
E44	41	42	2	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	7	12	2
NrE2	26	34	4
NrE3	14	15	3
NrE4	28	36	5
NrE5	38	46	3
NrE6	40	47	3
NrE7	6	7	3
NrE8	43	44	4
NrE9	32	40	2
NrE10	15	16	4
NrE11	11	12	2
NrE12	45	46	2
NrE13	42	43	2
NrE14	16	17	3
NrE15	14	23	2
NrE16	10	11	2
NrE17	34	42	4
NrE18	12	19	4
NrE19	15	23	1
NrE20	19	32	7
NrE21	23	29	4
NrE22	5	10	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A39	39	40	4	5	5
A40	45	50	3	3	3
A41	24	23	2	3	3
A42	43	35	6	14	14
A43	8	9	5	5	5
A44	45	49	3	4	4
A45	50	45	3	4	4
A46	36	44	5	10	10
A47	20	21	1	2	2
A48	33	41	4	5	5
A49	38	36	1	2	2
A50	31	17	4	8	8
A51	2	3	2	1	1
A52	1	15	4	4	4
A53	23	22	5	4	4
A54	18	11	3	5	5
A55	18	17	1	2	2
A56	23	24	2	2	2
A57	17	18	1	1	1
A58	40	39	4	5	5
A59	26	25	2	4	4
A60	23	28	2	4	4
A61	24	30	3	5	5
A62	50	49	2	4	4
A63	21	26	2	4	4
A64	30	29	1	2	2
A65	27	28	1	1	1
A66	21	20	1	3	3
A67	11	18	3	4	4
A68	1	16	4	6	6
A69	22	13	4	5	5
A70	5	6	2	4	4
A71	4	7	3	3	3
A72	17	30	6	7	7
A73	13	9	4	12	12
A74	22	23	5	4	4
A75	18	19	1	2	2
A76	21	22	2	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	49	45	3
NrA2	29	37	3
NrA3	39	30	2
NrA4	3	2	2
NrA5	28	27	1
NrA6	29	24	2
NrA7	22	28	4
NrA8	5	1	3
NrA9	36	38	1
NrA10	13	22	4
NrA11	6	5	2
NrA12	29	28	5
NrA13	24	29	2
NrA14	28	22	4
NrA15	34	33	2
NrA16	45	44	2
NrA17	21	13	1
NrA18	38	37	2
NrA19	35	27	2
NrA20	13	21	1
NrA21	30	17	6
NrA22	29	30	1
NrA23	17	31	4
NrA24	16	1	4
NrA25	30	38	3
NrA26	9	8	5
NrA27	9	14	1
NrA28	20	25	3
NrA29	33	34	2
NrA30	25	20	3
NrA31	15	1	4
NrA32	49	50	2
NrA33	22	21	2
NrA34	13	8	6
NrA35	45	48	5
NrA36	35	34	1
NrA37	7	4	3
NrA38	41	33	4
