Name:		mgval_0.50_9C
Optimal value:	-1
#Vehicles:	5
Capacity:	140
Depot Node:	1
#Nodes:		50
#Edges:		42
#Arcs:		83
#Required N:	38
#Required E:	21
#Required A:	41

ReN.	DEMAND	S. COST
N2	2	2
N4	3	3
N5	22	22
N6	3	3
N9	7	7
N10	8	8
N11	11	11
N12	4	4
N13	28	28
N14	7	7
N17	27	27
N18	3	3
N19	20	20
N20	7	7
N21	4	4
N22	2	2
N23	7	7
N26	2	2
N27	11	11
N28	6	6
N29	14	14
N30	10	10
N32	8	8
N33	15	15
N34	5	5
N35	2	2
N36	2	2
N37	8	8
N38	7	7
N39	14	14
N40	15	15
N41	4	4
N43	14	14
N44	5	5
N45	9	9
N46	2	2
N49	8	8
N50	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E22	11	12	2	5	5
E23	15	16	4	10	10
E24	48	49	4	10	10
E25	4	7	3	6	6
E26	16	17	3	7	7
E27	8	9	5	10	10
E28	25	26	2	4	4
E29	1	10	4	13	13
E30	30	38	3	4	4
E31	36	44	5	10	10
E32	22	28	4	8	8
E33	9	14	1	3	3
E34	6	7	3	7	7
E35	38	46	3	12	12
E36	43	48	7	12	12
E37	31	39	4	6	6
E38	37	38	2	5	5
E39	1	16	4	12	12
E40	5	10	2	5	5
E41	45	48	5	12	12
E42	25	33	1	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	44	45	2
NrE2	10	17	4
NrE3	38	39	3
NrE4	37	44	3
NrE5	40	47	3
NrE6	39	47	5
NrE7	29	37	3
NrE8	34	35	1
NrE9	32	40	2
NrE10	19	32	7
NrE11	27	35	2
NrE12	1	9	3
NrE13	17	31	4
NrE14	17	24	4
NrE15	14	15	3
NrE16	33	41	4
NrE17	29	30	1
NrE18	5	6	2
NrE19	33	34	2
NrE20	23	28	2
NrE21	13	22	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A43	12	7	2	4	4
A44	28	29	5	8	8
A45	29	23	4	2	2
A46	36	28	5	4	4
A47	17	30	6	7	7
A48	15	1	4	4	4
A49	7	12	2	4	4
A50	42	43	2	2	2
A51	2	3	2	3	3
A52	15	24	2	4	4
A53	36	38	1	3	3
A54	21	26	2	4	4
A55	43	42	2	3	3
A56	43	44	4	5	5
A57	11	6	3	3	3
A58	30	17	6	7	7
A59	23	14	2	3	3
A60	13	21	1	1	1
A61	3	6	4	7	7
A62	50	45	3	4	4
A63	10	11	2	2	2
A64	50	49	2	4	4
A65	42	34	4	5	5
A66	1	15	4	4	4
A67	25	20	3	3	3
A68	3	4	3	3	3
A69	18	19	1	1	1
A70	31	32	2	3	3
A71	26	34	4	3	3
A72	23	24	2	2	2
A73	39	40	4	5	5
A74	34	42	4	5	5
A75	24	29	2	3	3
A76	34	26	4	3	3
A77	23	22	5	8	8
A78	8	13	6	5	5
A79	44	43	4	5	5
A80	15	23	1	1	1
A81	19	18	1	1	1
A82	24	23	2	3	3
A83	14	22	4	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	11	18	3
NrA2	43	35	6
NrA3	5	1	3
NrA4	27	26	3
NrA5	45	49	3
NrA6	46	45	2
NrA7	21	22	2
NrA8	21	13	1
NrA9	20	25	3
NrA10	36	35	2
NrA11	6	11	3
NrA12	12	19	4
NrA13	49	50	2
NrA14	18	17	1
NrA15	20	21	1
NrA16	41	42	2
NrA17	4	3	3
NrA18	49	45	3
NrA19	30	24	3
NrA20	32	31	2
NrA21	2	5	2
NrA22	45	46	2
NrA23	50	46	2
NrA24	28	27	1
NrA25	40	39	4
NrA26	22	21	2
NrA27	27	28	1
NrA28	14	23	2
NrA29	13	8	6
NrA30	29	24	2
NrA31	23	15	1
NrA32	26	27	3
NrA33	35	36	2
NrA34	30	39	2
NrA35	23	29	4
NrA36	28	36	5
NrA37	1	5	3
NrA38	19	12	4
NrA39	13	9	4
NrA40	45	50	3
NrA41	11	10	2
NrA42	5	2	2
