Name:		mgval_0.50_9D
Optimal value:	-1
#Vehicles:	10
Capacity:	70
Depot Node:	1
#Nodes:		50
#Edges:		38
#Arcs:		93
#Required N:	38
#Required E:	19
#Required A:	46

ReN.	DEMAND	S. COST
N2	4	4
N3	5	5
N4	9	9
N5	12	12
N6	14	14
N7	4	4
N8	15	15
N9	10	10
N10	17	17
N11	9	9
N12	15	15
N13	11	11
N14	10	10
N15	5	5
N16	7	7
N17	26	26
N21	8	8
N22	8	8
N24	8	8
N25	5	5
N27	1	1
N28	8	8
N29	7	7
N30	10	10
N31	3	3
N32	8	8
N33	2	2
N35	4	4
N36	10	10
N38	17	17
N39	23	23
N41	4	4
N43	5	5
N44	5	5
N45	21	21
N46	4	4
N48	5	5
N49	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E20	42	43	2	5	5
E21	5	10	2	5	5
E22	45	50	3	7	7
E23	9	14	1	3	3
E24	20	21	1	5	5
E25	28	29	5	8	8
E26	28	36	5	8	8
E27	26	27	3	5	5
E28	34	42	4	10	10
E29	32	40	2	4	4
E30	23	28	2	4	4
E31	26	34	4	6	6
E32	17	18	1	3	3
E33	17	24	4	12	12
E34	3	6	4	7	7
E35	33	41	4	11	11
E36	30	38	3	4	4
E37	13	21	1	3	3
E38	1	15	4	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	14	23	2
NrE2	45	48	5
NrE3	22	23	5
NrE4	36	44	5
NrE5	41	42	2
NrE6	6	7	3
NrE7	11	18	3
NrE8	15	24	2
NrE9	21	26	2
NrE10	29	30	1
NrE11	38	46	3
NrE12	35	36	2
NrE13	2	5	2
NrE14	17	31	4
NrE15	4	7	3
NrE16	21	22	2
NrE17	46	50	2
NrE18	14	15	3
NrE19	12	19	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A48	47	39	5	7	7
A49	37	29	3	4	4
A50	25	33	1	2	2
A51	27	35	2	7	7
A52	37	38	2	2	2
A53	30	39	2	2	2
A54	43	48	7	6	6
A55	22	14	4	4	4
A56	28	27	1	2	2
A57	18	19	1	2	2
A58	48	43	7	6	6
A59	1	9	3	3	3
A60	11	12	2	2	2
A61	36	38	1	1	1
A62	23	24	2	2	2
A63	43	35	6	7	7
A64	22	13	4	5	5
A65	19	32	7	8	8
A66	11	6	3	3	3
A67	34	35	1	5	5
A68	1	16	4	6	6
A69	15	16	4	5	5
A70	46	45	2	4	4
A71	39	47	5	7	7
A72	23	29	4	1	1
A73	26	25	2	2	2
A74	29	23	4	2	2
A75	50	49	2	4	4
A76	10	17	4	4	4
A77	23	15	1	2	2
A78	47	40	3	10	10
A79	16	1	4	6	6
A80	16	15	4	5	5
A81	35	43	6	7	7
A82	44	37	3	8	8
A83	31	39	4	3	3
A84	2	3	2	1	1
A85	14	22	4	4	4
A86	32	31	2	4	4
A87	29	24	2	3	3
A88	20	25	3	2	2
A89	49	50	2	4	4
A90	49	48	4	5	5
A91	13	8	6	6	6
A92	5	6	2	4	4
A93	33	34	2	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	30	24	3
NrA2	33	25	1
NrA3	24	29	2
NrA4	25	20	3
NrA5	8	13	6
NrA6	6	11	3
NrA7	17	30	6
NrA8	10	11	2
NrA9	39	40	4
NrA10	6	5	2
NrA11	25	26	2
NrA12	49	45	3
NrA13	30	17	6
NrA14	38	37	2
NrA15	31	32	2
NrA16	13	22	4
NrA17	12	7	2
NrA18	24	30	3
NrA19	32	19	7
NrA20	38	36	1
NrA21	39	30	2
NrA22	48	49	4
NrA23	39	31	4
NrA24	45	44	2
NrA25	12	11	2
NrA26	29	37	3
NrA27	3	4	3
NrA28	45	49	3
NrA29	24	23	2
NrA30	16	17	3
NrA31	13	9	4
NrA32	1	10	4
NrA33	28	22	4
NrA34	3	2	2
NrA35	17	10	4
NrA36	9	1	3
NrA37	15	23	1
NrA38	44	43	4
NrA39	39	38	3
NrA40	8	9	5
NrA41	9	13	4
NrA42	27	28	1
NrA43	7	12	2
NrA44	43	44	4
NrA45	1	5	3
NrA46	4	3	3
NrA47	5	1	3
